"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"761","A.J. Greer","COL","L","5","2.8666666666667","4","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.42","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","2","0","0","0","100.00","3","1","0","100.00"
"710","Aaron Ekblad","FLA","D","68","190.46666666667","351","28","92.61","267","26","91.13","201","24","89.33","19","3","86.36","21.46","1.93","91.75","139","16","89.68","50","11","81.97","6","3","66.67","89","5","94.68","9","0","100.00","188","9","95.43","2","0","100.00","9.45","87.50","0.970","84","17","5","74","94.38","169","37","10","94.41"
"514","Adam Clendening","NYR","D","31","45.716666666667","56","10","84.85","47","9","83.93","30","8","78.95","3","1","75.00","3.67","0.78","82.52","33","5","86.84","16","4","80.00","2","1","66.67","17","1","94.44","0","0","-","22","4","84.62","1","0","100.00","10.00","87.50","0.975","23","6","1","23","95.83","32","9","4","88.89"
"144","Adam Cracknell","DAL","R","69","6.7666666666667","6","3","66.67","6","3","66.67","6","3","66.67","0","0","-","0.73","0.13","85.22","4","1","80.00","3","1","75.00","0","0","-","1","0","100.00","0","0","-","2","2","50.00","0","0","-","0.00","100.00","1.000","2","5","3","13","40.00","2","5","5","28.57"
"662","Adam Erne","T.B","L","26","26.083333333333","36","6","85.71","30","5","85.71","20","4","83.33","1","0","100.00","3.11","0.83","78.98","23","3","88.46","10","2","83.33","0","0","-","13","1","92.86","1","0","100.00","13","0","100.00","0","0","-","5.00","100.00","1.050","13","3","1","20","92.86","16","4","2","88.89"
"303","Adam Henrique","N.J","C","82","200","290","46","86.31","224","41","84.53","160","37","81.22","18","7","72.00","20.95","3.62","85.27","134","29","82.21","55","15","78.57","13","3","81.25","79","14","84.95","3","4","42.86","142","9","94.04","2","0","100.00","11.25","81.08","0.923","77","20","3","102","96.25","145","34","10","93.55"
"531","Adam Larsson","EDM","D","79","13.9","16","4","80.00","7","3","70.00","4","1","80.00","0","0","-","0.44","0.19","69.35","9","3","75.00","2","0","100.00","0","0","-","7","3","70.00","0","0","-","6","0","100.00","0","0","-","0.00","100.00","1.000","11","4","3","37","78.57","13","5","3","81.25"
"496","Adam Lowry","WPG","C, L","82","142.03333333333","250","37","87.11","199","31","86.52","141","25","84.94","17","1","94.44","18.3","1.98","90.24","137","18","88.39","57","8","87.69","8","1","88.89","80","10","88.89","4","0","100.00","107","12","89.92","5","0","100.00","12.06","96.00","1.081","86","21","3","50","96.63","123","33","10","92.48"
"166","Adam McQuaid","BOS","D","77","3.4","5","1","83.33","4","1","80.00","4","1","80.00","0","0","-","0.25","0.07","78.41","1","1","50.00","0","0","-","0","0","-","1","1","50.00","0","0","-","4","0","100.00","0","0","-","0.00","100.00","1.000","0","5","0","5","-","3","5","0","100.00"
"601","Adam Pelech","NYI","D","44","1.4833333333333","3","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.09","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","2","0","0","6","100.00","2","0","0","100.00"
