"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"729","A.J. Greer","COL","L","5","1.2833333333333","1","1","50.00","1","1","50.00","0","1","0.00","0","0","-","0.06","0.02","71.91","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","2","1","0.00","1","0","2","33.33"
"688","Aaron Ekblad","FLA","D","68","55.583333333333","20","64","23.81","14","54","20.59","12","46","20.69","1","4","20.00","0.78","3.89","16.64","9","32","21.95","3","13","18.75","0","0","-","6","19","24.00","0","0","-","8","30","21.05","1","4","20.00","8.33","91.30","0.996","4","7","19","57","17.39","9","18","29","23.68"
"501","Adam Clendening","NYR","D","31","1.3","0","2","0.00","0","2","0.00","0","1","0.00","0","0","-","0","0.22","0.00","0","2","0.00","0","1","0.00","0","0","-","0","1","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","3","-","0","0","0","-"
"145","Adam Cracknell","DAL","R","69","35.95","15","51","22.73","13","36","26.53","9","19","32.14","2","4","33.33","1.43","3.6","28.43","12","29","29.27","9","13","40.91","2","2","50.00","3","16","15.79","0","1","0.00","1","21","4.55","0","1","0.00","22.22","78.95","1.012","1","4","8","57","11.11","3","6","11","21.43"
"298","Adam Henrique","N.J","C","82","186.6","29","295","8.95","23","230","9.09","22","159","12.15","4","18","18.18","1.69","20.03","7.78","13","136","8.72","6","50","10.71","3","10","23.08","7","86","7.53","0","4","0.00","9","151","5.63","0","4","0.00","18.18","88.68","1.069","3","18","153","102","1.92","9","39","203","4.25"
"519","Adam Larsson","EDM","D","79","126.36666666667","29","221","11.60","24","162","12.90","17","118","12.59","1","18","5.26","1.15","16.38","6.56","15","100","13.04","8","50","13.79","1","3","25.00","7","50","12.28","0","7","0.00","8","113","6.61","0","8","0.00","5.88","84.75","0.906","6","16","69","87","8.00","9","22","90","9.09"
"485","Adam Lowry","WPG","C, L","82","183.73333333333","36","351","9.30","31","254","10.88","25","183","12.02","5","26","16.13","2.34","22.61","9.36","17","170","9.09","12","63","16.00","2","10","16.67","5","107","4.46","1","7","12.50","12","163","6.86","2","9","18.18","20.00","85.79","1.058","7","28","170","100","3.95","8","41","223","3.46"
"167","Adam McQuaid","BOS","D","77","183.13333333333","46","289","13.73","39","199","16.39","31","130","19.25","4","18","18.18","2.26","18.31","10.99","22","131","14.38","8","52","13.33","2","7","22.22","14","79","15.05","1","7","12.50","16","147","9.82","1","4","20.00","12.90","86.15","0.991","5","8","101","94","4.72","13","23","148","8.07"
"140","Adam Pardy","NSH","D","4","0.33333333333333","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","1","0","1","-","0","1","0","-"
"585","Adam Pelech","NYI","D","44","43","7","70","9.09","7","46","13.21","7","30","18.92","0","2","0.00","0.78","3.68","17.54","6","39","13.33","5","15","25.00","0","1","0.00","1","24","4.00","0","0","-","1","29","3.33","0","1","0.00","0.00","93.33","0.933","0","3","12","45","0.00","2","4","22","8.33"
"705","Adrian Kempe","L.A","L","25","15.633333333333","4","26","13.33","3","15","16.67","2","11","15.38","1","2","33.33","0.15","1.08","12.26","2","12","14.29","2","2","50.00","1","1","50.00","0","10","0.00","0","1","0.00","2","12","14.29","0","0","-","50.00","81.82","1.318","1","2","3","25","25.00","1","3","3","25.00"
"492","Alan Quine","NYI","C","61","22.1","0","52","0.00","0","39","0.00","0","29","0.00","0","2","0.00","0","3.74","0.00","0","24","0.00","0","14","0.00","0","2","0.00","0","10","0.00","0","0","-","0","26","0.00","0","0","-","-","93.10","0.93","0","2","18","27","0.00","0","4","21","0.00"
"261","Alec Martinez","L.A","D","82","181.85","46","267","14.70","38","184","17.12","27","118","18.62","2","15","11.76","2.56","17.61","12.71","30","133","18.40","15","49","23.44","1","6","14.29","15","84","15.15","1","2","33.33","14","124","10.14","0","7","0.00","7.41","87.29","0.947","2","8","95","155","2.06","12","18","115","9.45"
"656","Aleksander Barkov","FLA","C","61","78.616666666667","19","90","17.43","13","76","14.61","9","57","13.64","0","5","0.00","0.89","5.68","13.49","7","47","12.96","2","16","11.11","0","1","0.00","5","31","13.89","0","2","0.00","10","39","20.41","0","2","0.00","0.00","91.23","0.912","6","10","43","80","12.24","9","12","53","14.52"
"44","Ales Hemsky","DAL","R","15","2.8","0","2","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.09","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","1","0","2","-","0","1","0","-"
"188","Alex Biega","VAN","D","36","23.116666666667","3","42","6.67","3","35","7.89","3","28","9.68","0","7","0.00","0.19","3.83","4.74","1","27","3.57","1","14","6.67","0","3","0.00","0","13","0.00","0","3","0.00","2","14","12.50","0","1","0.00","0.00","75.00","0.750","0","2","16","21","0.00","0","4","17","0.00"
"331","Alex Chiasson","CGY","R","81","76.283333333333","13","95","12.04","10","77","11.49","5","58","7.94","1","7","12.50","1.05","6.49","13.87","7","49","12.50","5","25","16.67","1","4","20.00","2","24","7.69","0","2","0.00","3","42","6.67","0","1","0.00","20.00","87.93","1.079","3","10","16","108","15.79","5","13","22","18.52"
"555","Alex Galchenyuk","MTL","C","61","1.7","0","2","0.00","0","2","0.00","0","1","0.00","0","0","-","0","0.13","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","1","0","7","-","0","1","0","-"
"131","Alex Goligoski","ARI","D","82","204.1","56","381","12.81","48","284","14.46","41","198","17.15","6","34","15.00","3.54","25.6","12.15","28","196","12.50","16","89","15.24","3","23","11.54","12","107","10.08","1","10","9.09","14","171","7.57","1","1","50.00","14.63","82.83","0.975","1","24","124","119","0.80","9","37","168","5.08"
"226","Alex Killorn","T.B","C, L","81","116.68333333333","27","165","14.06","24","130","15.58","22","95","18.80","2","12","14.29","1.93","9.87","16.35","14","75","15.73","5","27","15.63","2","3","40.00","9","48","15.79","0","4","0.00","10","85","10.53","0","5","0.00","9.09","87.37","0.965","3","14","70","84","4.11","5","19","92","5.15"
"117","Alex Ovechkin","WSH","L","82","1.5833333333333","0","1","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0.29","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","0.00","0.00","1","0","0","6","100.00","1","1","0","100.00"
