"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"703","A.J. Greer","COL","L","15","94.016666666667","76","82","48.10","60","60","50.00","44","47","48.35","2","4","33.33","3.13","3.41","47.86","36","33","52.17","14","13","51.85","2","2","50.00","22","20","52.38","0","1","0.00","32","43","42.67","0","1","0.00","4.55","91.49","0.960","13","32","7","90","65.00","19","39","17","52.78"
"612","Aaron Ekblad","FLA","D","82","1609.5666666667","1534","1548","49.77","1189","1186","50.06","897","835","51.79","94","91","50.81","70.42","76.72","47.86","686","739","48.14","305","347","46.78","60","59","50.42","381","392","49.29","25","21","54.35","689","664","50.92","8","8","50.00","10.48","89.10","0.996","222","393","261","1126","45.96","527","593","592","47.10"
"393","Adam Clendening","CBJ","D","4","35.466666666667","31","42","42.47","22","34","39.29","18","25","41.86","2","1","66.67","1.18","2.07","36.33","13","21","38.24","4","11","26.67","0","1","0.00","9","10","47.37","1","0","100.00","13","18","41.94","1","0","100.00","11.11","96.00","1.071","9","10","5","29","64.29","12","13","10","54.55"
"75","Adam Cracknell","ANA","R","2","20.533333333333","15","17","46.88","9","15","37.50","6","11","35.29","0","1","0.00","0.5","1.09","31.57","6","11","35.29","3","7","30.00","0","1","0.00","3","4","42.86","0","0","-","8","4","66.67","0","0","-","0.00","90.91","0.909","3","7","5","18","37.50","7","12","5","58.33"
"554","Adam Erne","T.B","L","65","632.75","537","578","48.16","409","440","48.17","290","311","48.25","29","20","59.18","22.89","20.86","52.33","269","258","51.04","117","92","55.98","15","11","57.69","152","166","47.80","10","6","62.50","237","285","45.40","4","3","57.14","10.00","93.57","1.036","84","178","102","516","45.16","142","236","191","42.64"
"759","Adam Gaudette","VAN","C","56","535.76666666667","463","522","47.01","343","391","46.73","248","296","45.59","17","24","41.46","14.72","21.48","40.66","189","264","41.72","60","108","35.71","7","14","33.33","129","156","45.26","7","7","50.00","228","214","51.58","3","3","50.00","6.85","91.89","0.987","112","120","42","519","72.73","152","161","104","59.38"
"209","Adam Henrique","ANA","C","82","1068.5","925","1075","46.25","692","798","46.44","465","535","46.50","44","47","48.35","42.06","49.17","46.10","444","490","47.54","181","193","48.40","23","27","46.00","263","297","46.96","13","8","61.90","389","497","43.91","7","10","41.18","9.46","91.21","1.007","229","210","156","815","59.48","344","299","328","51.19"
"872","Adam Johnson","PIT","C","6","31.833333333333","29","31","48.33","22","24","47.83","18","20","47.37","3","1","75.00","1.22","1.34","47.58","11","13","45.83","5","6","45.45","1","0","100.00","6","7","46.15","1","1","50.00","17","15","53.13","1","0","100.00","16.67","95.00","1.117","5","8","0","42","100.00","6","11","3","66.67"
"410","Adam Larsson","EDM","D","82","1601.4333333333","1450","1492","49.29","1081","1130","48.89","780","835","48.30","50","81","38.17","61.71","66.96","47.96","662","713","48.15","283","314","47.40","30","45","40.00","379","399","48.71","14","26","35.00","659","632","51.05","6","10","37.50","6.41","90.30","0.967","162","393","288","1141","36.00","476","589","554","46.21"
"379","Adam Lowry","WPG","C","78","955.8","908","896","50.33","662","648","50.53","469","457","50.65","34","31","52.31","36.68","33.09","52.57","370","384","49.07","163","148","52.41","21","18","53.85","207","236","46.73","7","7","50.00","425","405","51.20","5","6","45.45","7.25","93.22","1.005","133","307","171","748","43.75","245","388","345","41.53"
