"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"388","Roman Josi","NSH","D","81","1598.7333333333","7","28","17","11","35","51.47","141","4.96","7.58","296","197","103","19","3","13","35","16","15","1","0","11","33","17","52","115","148","0","0","-"
"201","Roman Polak","S.J, TOR","D","79","1283.65","1","15","8","7","16","36.36","87","1.15","4.36","212","135","41","11","3","11","49","20","17","3","0","14","36","9","260","115","110","1","0","100.00"
"47","Ron Hainsey","CAR","D","81","1566.85","5","14","6","8","19","31.15","127","3.94","6.18","241","177","59","13","5","15","33","15","14","1","0","7","44","29","83","95","108","0","0","-"
"829","Ronalds Kenins","VAN","L","8","90.416666666667","0","0","0","0","0","0.00","6","0.00","0.53","13","10","10","2","0","1","6","3","3","0","0","2","2","3","19","5","2","1","2","33.33"
"827","Ross Johnston","NYI","L","1","14.5","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","1","6","0","0","0","0","-"
"194","Ryan Callahan","T.B","R","73","965.46666666667","8","16","10","6","24","63.16","135","5.93","10.62","239","192","127","52","4","13","31","13","12","1","0","21","18","26","154","77","52","9","6","60.00"
"837","Ryan Carpenter","S.J","C","1","7.45","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","2","0.00"
"300","Ryan Carter","MIN","L","60","565.91666666667","6","5","4","1","11","84.62","55","10.91","4.87","87","70","45","23","3","6","29","13","12","1","0","17","7","12","84","60","31","16","14","53.33"
"605","Ryan Dzingel","OTT","L","30","319.63333333333","3","6","2","4","9","56.25","23","13.04","2.67","46","32","34","14","0","2","11","4","3","1","0","1","2","6","54","22","4","2","2","50.00"
"455","Ryan Ellis","NSH","D","79","1370.8333333333","6","18","10","8","24","36.92","109","5.50","4.25","225","147","44","7","2","12","35","16","15","1","0","23","20","15","58","105","80","0","0","-"
"595","Ryan Garbutt","ANA, CHI","C","80","807.33333333333","6","7","7","0","13","59.09","128","4.69","9.37","231","186","107","35","4","7","32","16","16","0","0","21","18","9","154","129","24","1","7","12.50"
"131","Ryan Getzlaf","ANA","C","77","1168.5833333333","7","33","19","14","40","71.43","131","5.34","11.87","266","203","123","38","11","12","32","16","16","0","0","13","52","37","97","80","57","453","491","47.99"
