"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"703","A.J. Greer","COL","L","15","94.016666666667","1","1","1","0","2","100.00","9","11.11","0.87","14","11","8","5","1","2","12","6","6","0","0","2","1","4","20","20","5","2","3","40.00"
"612","Aaron Ekblad","FLA","D","82","1609.5666666667","8","19","6","13","27","28.72","131","6.11","5.74","242","174","70","19","5","22","30","15","15","0","0","11","105","38","102","110","77","0","0","-"
"393","Adam Clendening","CBJ","D","4","35.466666666667","0","0","0","0","0","0.00","3","0.00","0.07","7","3","1","0","1","0","0","0","0","0","0","0","0","2","1","7","2","0","0","-"
"75","Adam Cracknell","ANA","R","2","20.533333333333","0","0","0","0","0","-","3","0.00","0.19","4","3","2","1","0","0","0","0","0","0","0","0","1","0","6","2","0","0","0","-"
"554","Adam Erne","T.B","L","65","632.75","5","13","6","7","18","62.07","61","8.20","5.8","124","94","76","34","8","8","28","10","9","0","1","11","8","15","157","53","24","7","8","46.67"
"759","Adam Gaudette","VAN","C","56","535.76666666667","5","5","3","2","10","58.82","46","10.87","4.19","92","67","52","19","2","9","16","7","7","0","0","13","6","10","48","50","15","137","208","39.71"
"209","Adam Henrique","ANA","C","82","1068.5","10","18","12","6","28","63.64","89","11.24","10.75","163","139","109","62","4","11","20","10","10","0","0","10","21","30","72","65","64","438","397","52.46"
"872","Adam Johnson","PIT","C","6","31.833333333333","0","2","1","1","2","66.67","3","0.00","0.23","5","3","4","2","0","0","0","0","0","0","0","0","1","2","11","7","3","0","0","-"
"410","Adam Larsson","EDM","D","82","1601.4333333333","3","16","7","9","19","38.00","112","2.68","3.85","239","165","53","5","0","11","40","20","20","0","0","8","64","23","237","129","111","0","0","-"
"379","Adam Lowry","WPG","C","78","955.8","11","9","4","5","20","58.82","95","11.58","11.32","167","135","103","61","5","14","24","9","7","2","0","17","19","38","215","103","35","505","353","58.86"
"90","Adam McQuaid","CBJ, NYR","D","50","701.61666666667","3","3","1","2","6","21.43","28","10.71","1.62","73","50","13","0","0","3","31","14","13","1","0","6","18","9","111","62","72","0","0","-"
"478","Adam Pelech","NYI","D","78","1316.2333333333","5","16","7","9","21","36.84","107","4.67","4.51","215","155","53","9","4","11","24","12","12","0","0","4","39","35","135","147","104","0","0","-"
"639","Adrian Kempe","L.A","C","81","1020.05","12","12","6","6","24","70.59","103","11.65","7.5","186","137","96","32","0","7","44","18","17","0","1","13","19","17","80","50","19","288","388","42.60"
"384","Alan Quine","CGY","C","13","120.48333333333","2","2","0","2","4","100.00","10","20.00","0.71","19","13","9","5","0","1","6","3","3","0","0","0","5","3","14","7","2","13","20","39.39"
"173","Alec Martinez","L.A","D","60","1094.9","4","12","4","8","16","31.37","62","6.45","3.06","137","91","41","10","2","10","8","4","4","0","0","4","64","11","71","77","116","0","0","-"
"573","Aleksander Barkov","FLA","C","82","1375.2833333333","22","42","27","15","64","72.73","159","13.84","15.18","247","214","144","68","7","13","6","3","3","0","0","32","50","81","24","123","52","779","662","54.06"
"106","Alex Biega","VAN","D","41","692.95","2","13","6","7","15","46.88","88","2.27","2.93","180","126","46","9","5","9","22","10","10","0","0","5","17","4","98","84","39","0","0","-"
"236","Alex Chiasson","EDM","R","73","1002.75","13","8","7","1","21","53.85","87","14.94","9.4","156","126","101","52","6","13","24","12","12","0","0","13","25","24","79","124","30","5","13","27.78"
"784","Alex DeBrincat","CHI","L, R","82","1173.4833333333","28","24","9","15","52","68.42","167","16.77","13.66","304","225","186","58","10","6","8","4","4","0","0","8","43","47","33","85","24","13","17","43.33"
"847","Alex Formenton","OTT","L","9","100.51666666667","1","0","0","0","1","33.33","16","6.25","1.45","25","22","19","10","2","2","4","2","2","0","0","5","5","4","11","15","6","1","2","33.33"
"444","Alex Galchenyuk","ARI","C","72","901.43333333333","10","10","5","5","20","68.97","99","10.10","10.83","192","151","114","58","4","9","26","13","13","0","0","15","29","27","61","74","33","152","164","48.10"
"67","Alex Goligoski","ARI","D","76","1320.0333333333","2","16","7","9","18","34.62","84","2.38","3.21","194","122","38","7","10","8","14","7","7","0","0","6","53","17","71","102","128","1","0","100.00"
"859","Alex Iafallo","L.A","L","82","1213.3833333333","13","14","8","6","27","57.45","115","11.30","10.55","190","160","113","51","4","10","20","9","9","0","0","6","16","26","85","80","52","7","16","30.43"
"136","Alex Killorn","T.B","L","82","948.36666666667","15","18","13","5","33","64.71","130","11.54","12.33","248","181","149","52","16","16","30","15","15","0","0","8","18","22","84","84","19","1","5","16.67"
"56","Alex Ovechkin","WSH","L","81","1335.2666666667","33","28","20","8","61","67.03","223","14.80","22.7","441","325","212","78","13","20","32","16","16","0","0","19","57","36","216","59","41","1","4","20.00"
