"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"850","Aaron Ekblad","FLA","D","78","1411.1833333333","1176","1107","51.51","932","874","51.61","690","613","52.95","69","49","58.47","54.04","47.12","53.42","548","496","52.49","216","212","50.47","35","28","55.56","332","284","53.90","21","14","60.00","561","525","51.66","11","4","73.33","10.00","92.01","1.020","233","337","181","793","56.28","495","534","395","55.62"
"390","Aaron Ness","WSH","D","8","97.75","98","86","53.26","63","64","49.61","45","39","53.57","6","2","75.00","3.39","3.7","47.82","47","40","54.02","14","19","42.42","3","1","75.00","33","21","61.11","2","0","100.00","40","41","49.38","1","1","50.00","13.33","94.87","1.082","11","15","3","106","78.57","25","25","12","67.57"
"647","Adam Clendening","EDM, PIT","D","29","405.33333333333","374","398","48.45","277","305","47.59","204","217","48.46","19","13","59.38","14.94","16.63","47.31","175","180","49.30","68","72","48.57","13","10","56.52","107","108","49.77","4","0","100.00","164","190","46.33","2","3","40.00","9.31","94.01","1.033","52","69","41","353","55.91","123","114","101","54.91"
"205","Adam Cracknell","EDM, VAN","R","52","595.98333333333","481","551","46.61","351","398","46.86","251","287","46.65","13","14","48.15","19.51","22.05","46.95","207","283","42.24","86","104","45.26","7","8","46.67","121","179","40.33","3","5","37.50","218","216","50.23","1","1","50.00","5.18","95.12","1.003","79","110","97","489","44.89","145","169","187","43.67"
"401","Adam Henrique","N.J","C","80","1164.5666666667","842","979","46.24","650","745","46.59","475","534","47.08","55","44","55.56","43.38","44.62","49.29","404","415","49.33","188","178","51.37","37","22","62.71","216","237","47.68","12","13","48.00","380","477","44.34","4","7","36.36","11.58","91.76","1.033","212","261","180","846","54.08","373","384","379","49.60"
"667","Adam Larsson","N.J","D","82","1557.5333333333","991","1288","43.48","760","934","44.86","554","686","44.68","48","37","56.47","48.23","48.78","49.71","470","541","46.49","192","226","45.93","29","19","60.42","278","315","46.88","11","9","55.00","457","635","41.85","5","8","38.46","8.66","94.61","1.033","127","371","329","1046","27.85","317","560","717","30.66"
"628","Adam Lowry","WPG","C","74","867.06666666667","692","799","46.41","514","587","46.68","387","420","47.96","27","37","42.19","30.4","32.09","48.65","326","350","48.22","140","156","47.30","16","19","45.71","186","194","48.95","5","9","35.71","293","369","44.26","5","8","38.46","6.98","91.19","0.982","140","240","154","646","47.62","237","318","281","45.75"
"229","Adam McQuaid","BOS","D","64","995.35","878","952","47.98","648","697","48.18","483","508","48.74","34","33","50.75","32.42","36.72","46.89","388","420","48.02","143","158","47.51","21","20","51.22","245","262","48.32","7","8","46.67","422","460","47.85","4","4","50.00","7.04","93.50","1.005","182","260","177","810","50.70","377","387","393","48.96"
"199","Adam Pardy","EDM, WPG","D","23","309.48333333333","276","291","48.68","210","222","48.61","153","156","49.51","8","16","33.33","13.46","12.72","51.41","130","140","48.15","66","67","49.62","5","6","45.45","64","73","46.72","2","4","33.33","117","123","48.75","1","6","14.29","5.23","89.74","0.950","47","60","36","234","56.63","102","93","79","56.35"
"743","Adam Pelech","NYI","D","9","136.5","98","130","42.98","70","92","43.21","49","68","41.88","5","7","41.67","4.65","4.79","49.26","47","71","39.83","16","28","36.36","2","4","33.33","31","43","41.89","1","2","33.33","40","46","46.51","1","1","50.00","10.20","89.71","0.999","10","20","17","110","37.04","32","43","43","42.67"
"636","Alan Quine","NYI","C","2","28.533333333333","20","17","54.05","16","16","50.00","10","13","43.48","0","1","0.00","0.93","0.83","52.86","14","9","60.87","4","4","50.00","0","1","0.00","10","5","66.67","0","0","-","3","7","30.00","0","0","-","0.00","92.31","0.923","4","3","5","22","44.44","6","5","6","50.00"
"354","Alec Martinez","L.A","D","78","1319.4","1375","1222","52.95","1004","888","53.07","674","612","52.41","57","43","57.00","52.25","49.35","51.42","620","561","52.50","255","197","56.42","30","22","57.69","365","364","50.07","10","10","50.00","633","561","53.02","15","9","62.50","8.46","92.97","1.014","234","244","227","1096","50.76","453","401","426","51.54"
"808","Aleksander Barkov","FLA","C","66","976.08333333333","821","875","48.41","658","677","49.29","490","488","50.10","58","41","58.59","39.66","37.73","51.25","418","383","52.18","175","155","53.03","32","22","59.26","243","228","51.59","16","9","64.00","358","416","46.25","8","6","57.14","11.84","91.60","1.034","120","228","124","653","49.18","277","386","321","46.32"
"67","Ales Hemsky","DAL","R","75","861.33333333333","941","796","54.17","693","578","54.52","475","402","54.16","46","38","54.76","42.96","34.54","55.43","477","382","55.53","190","172","52.49","24","23","51.06","287","210","57.75","11","7","61.11","373","321","53.75","7","7","50.00","9.68","90.55","1.002","167","230","145","741","53.53","280","333","282","49.82"
"258","Alex Biega","VAN","D","51","788.93333333333","668","772","46.39","483","637","43.13","374","471","44.26","27","38","41.54","23.53","36.53","39.18","313","402","43.78","116","173","40.14","12","14","46.15","197","229","46.24","10","15","40.00","299","323","48.07","5","9","35.71","7.22","91.93","0.992","95","123","97","790","49.48","256","204","198","56.39"
"443","Alex Chiasson","OTT","R","77","848.58333333333","657","855","43.45","469","633","42.56","337","467","41.92","29","29","50.00","27.03","34.59","43.86","300","403","42.67","139","149","48.26","20","13","60.61","161","254","38.80","3","13","18.75","296","388","43.27","5","3","62.50","8.61","93.79","1.024","113","244","175","680","39.24","196","330","322","37.84"
"577","Alex Friesen","VAN","C","1","11.716666666667","11","9","55.00","5","8","38.46","4","5","44.44","0","2","0.00","0.24","0.27","47.19","5","3","62.50","1","1","50.00","0","0","-","4","2","66.67","0","2","0.00","6","5","54.55","0","0","-","0.00","60.00","0.600","2","3","3","9","40.00","2","3","4","33.33"
"708","Alex Galchenyuk","MTL","C","82","1118.3333333333","1190","1039","53.39","879","758","53.70","621","550","53.03","58","60","49.15","49.04","46.46","51.35","524","490","51.68","227","208","52.18","24","36","40.00","297","282","51.30","22","10","68.75","558","438","56.02","12","9","57.14","9.34","89.09","0.984","308","286","119","884","72.13","470","377","254","64.92"
"184","Alex Goligoski","DAL","D","82","1602.3833333333","1789","1580","53.10","1313","1177","52.73","920","807","53.27","94","70","57.32","81.18","71.65","53.12","869","772","52.96","368","353","51.04","51","46","52.58","501","419","54.46","24","13","64.86","738","656","52.94","9","9","50.00","10.22","91.33","1.015","200","347","208","1199","49.02","537","607","529","50.38"
"314","Alex Grant","ARI","D","5","59.633333333333","49","61","44.55","38","48","44.19","31","28","52.54","1","2","33.33","2.55","2.45","50.98","28","29","49.12","14","13","51.85","0","1","0.00","14","16","46.67","1","0","100.00","18","27","40.00","0","1","0.00","3.23","92.86","0.961","10","8","6","65","62.50","21","11","14","60.00"
"649","Alex Khokhlachev","BOS","C","5","51.233333333333","50","43","53.76","35","37","48.61","22","26","45.83","0","2","0.00","1.2","1.73","40.95","17","21","44.74","4","7","36.36","0","1","0.00","13","14","48.15","0","1","0.00","31","20","60.78","0","0","-","0.00","92.31","0.923","11","12","13","42","45.83","21","17","17","55.26"
"308","Alex Killorn","T.B","L","81","1135.9666666667","1088","979","52.64","793","746","51.53","562","536","51.18","59","42","58.42","44.96","41.19","52.19","501","445","52.96","195","199","49.49","28","20","58.33","306","246","55.43","17","10","62.96","505","471","51.74","10","9","52.63","10.50","92.16","1.027","209","260","151","747","58.06","369","374","328","52.94"
