"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"784","Aaron Ekblad","FLA","D","78","221.53333333333","3","6","2","4","9","39.13","38","7.89","3.42","79","53","20","5","0","5","4","2","2","0","0","0","3","1","5","9","1","0","0","-"
"376","Aaron Ness","WSH","D","8","0.15","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"606","Adam Clendening","EDM, PIT","D","29","23.366666666667","0","0","0","0","0","-","2","0.00","0.29","7","4","5","0","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","-"
"199","Adam Cracknell","EDM, VAN","R","52","6.0666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","4","42.86"
"387","Adam Henrique","N.J","C","80","210.45","7","5","3","2","12","60.00","26","26.92","3.24","38","32","22","11","0","1","0","0","0","0","0","2","6","2","6","8","0","82","89","47.95"
"624","Adam Larsson","N.J","D","82","13.6","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","12","3","1","2","0","1","0","0","0","0","0","0","0","-"
"589","Adam Lowry","WPG","C","74","14.133333333333","0","0","0","0","0","-","2","0.00","0.15","2","2","2","1","0","0","10","2","0","2","0","0","0","0","1","0","0","4","3","57.14"
"223","Adam McQuaid","BOS","D","64","2.35","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","17","3","1","1","1","1","0","0","0","0","0","0","0","-"
"193","Adam Pardy","EDM, WPG","D","23","0.46666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","4","2","2","0","0","0","0","0","0","0","0","0","0","-"
"693","Adam Pelech","NYI","D","9","4.7333333333333","0","0","0","0","0","0.00","1","0.00","0.06","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"596","Alan Quine","NYI","C","2","3.8666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","50.00"
"341","Alec Martinez","L.A","D","78","153.71666666667","4","9","6","3","13","54.17","38","10.53","2.53","83","54","20","1","0","5","4","2","2","0","0","0","6","1","2","1","6","0","0","-"
"748","Aleksander Barkov","FLA","C","66","187.55","9","7","5","2","16","76.19","37","24.32","6.72","55","48","44","27","2","5","0","0","0","0","0","1","4","3","1","14","0","62","67","48.06"
"66","Ales Hemsky","DAL","R","75","120.66666666667","1","4","1","3","5","71.43","20","5.00","2.08","33","25","23","3","0","2","0","0","0","0","0","0","10","0","0","5","0","1","2","33.33"
"252","Alex Biega","VAN","D","51","11.583333333333","0","0","0","0","0","0.00","0","-","0.17","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"426","Alex Chiasson","OTT","R","77","85.183333333333","2","0","0","0","2","20.00","10","20.00","1.23","13","11","13","9","0","1","13","5","4","1","0","2","2","0","1","8","0","0","1","0.00"
"661","Alex Galchenyuk","MTL","C","82","212.08333333333","9","7","5","2","16","69.57","41","21.95","6.11","83","64","43","15","0","7","6","3","3","0","0","2","4","2","1","14","0","42","45","48.28"
"178","Alex Goligoski","DAL","D","82","160.18333333333","1","4","2","2","5","31.25","15","6.67","0.91","37","20","9","2","0","3","0","0","0","0","0","0","4","0","2","3","2","0","0","-"
"304","Alex Grant","ARI","D","5","3.6833333333333","0","0","0","0","0","-","1","0.00","0.03","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"298","Alex Killorn","T.B","L","81","186.41666666667","3","3","1","2","6","40.00","36","8.33","5.18","48","45","41","21","0","3","12","6","6","0","0","2","11","2","5","12","0","6","5","54.55"
"162","Alex Ovechkin","WSH","L","79","339.18333333333","19","5","3","2","24","46.15","142","13.38","16.58","276","215","112","19","1","9","12","6","6","0","0","0","12","5","5","5","0","0","0","-"
"513","Alex Petrovic","FLA","D","66","10.9","0","0","0","0","0","-","0","-","0","1","0","0","0","0","0","26","6","3","2","1","2","0","0","0","1","0","0","0","-"
"356","Alex Pietrangelo","STL","D","73","167.85","1","4","2","2","5","31.25","24","4.17","1.68","39","31","10","2","0","0","4","2","2","0","0","1","6","4","0","13","3","0","0","-"
"22","Alex Tanguay","ARI, COL","L","70","157.86666666667","1","8","3","5","9","47.37","17","5.88","1.93","27","19","13","6","0","1","4","2","2","0","0","1","5","1","1","2","0","1","0","100.00"
"532","Alexander Burmistrov","WPG","C","81","76.266666666667","0","1","0","1","1","25.00","2","0.00","0.42","9","6","5","0","0","2","2","1","1","0","0","0","2","1","4","2","0","15","21","41.67"
"183","Alexander Edler","VAN","D","52","168.23333333333","3","6","1","5","9","50.00","30","10.00","2.41","79","46","20","2","0","2","2","1","1","0","0","1","3","0","6","2","3","0","0","-"
"94","Alexander Semin","MTL","R","15","31.25","0","0","0","0","0","0.00","1","0.00","0.13","3","2","2","0","0","0","2","1","1","0","0","1","1","1","0","0","0","1","0","100.00"
"107","Alexander Steen","STL","L","67","198.21666666667","2","19","12","7","21","72.41","37","5.41","3.92","74","54","28","9","0","8","10","5","5","0","0","0","3","2","4","6","2","2","4","33.33"
"759","Alexander Wennberg","CBJ","C","69","150.51666666667","1","11","8","3","12","66.67","29","3.45","4.16","43","36","26","11","0","5","0","0","0","0","0","1","3","1","1","8","2","45","52","46.39"
"113","Alexandre Burrows","VAN","L","79","152.46666666667","2","4","3","1","6","60.00","22","9.09","3.76","34","29","23","15","0","0","25","10","9","1","0","6","3","0","6","4","1","3","0","100.00"
"182","Alexei Emelin","MTL","D","72","21.9","0","0","0","0","0","-","2","0.00","0.09","4","3","1","0","0","0","6","3","3","0","0","1","0","0","1","0","1","0","0","-"
"570","Alexey Marchenko","DET","D","66","1.7833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"481","Anders Lee","NYI","L","80","200.18333333333","8","6","4","2","14","43.75","42","19.05","7.18","57","51","52","38","0","6","15","6","5","1","0","3","2","0","9","7","0","0","0","-"
"114","Andre Benoit","STL","D","2","0.96666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"734","Andre Burakovsky","WSH","L","79","63.283333333333","0","5","2","3","5","83.33","9","0.00","1.03","12","12","8","4","0","0","2","1","1","0","0","0","4","0","0","2","0","5","7","41.67"
"705","Andreas Athanasiou","DET","C","37","0.7","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
