"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"900","Ryan Kuffner","DET","L","10","109.35","76","113","40.21","57","92","38.26","40","71","36.04","1","4","20.00","2.97","5.53","34.93","33","60","35.48","14","26","35.00","1","3","25.00","19","34","35.85","0","1","0.00","34","47","41.98","0","0","-","2.50","94.37","0.969","23","28","9","90","71.88","27","34","24","52.94"
"779","Ryan Lindgren","NYR","D","5","72.933333333333","50","72","40.98","39","53","42.39","30","36","45.45","1","7","12.50","2.65","4.17","38.87","26","36","41.94","15","15","50.00","1","5","16.67","11","21","34.38","0","2","0.00","19","27","41.30","0","0","-","3.33","80.56","0.839","17","14","4","67","80.95","32","24","16","66.67"
"767","Ryan Lomberg","CGY","L","4","27.933333333333","9","24","27.27","8","14","36.36","7","11","38.89","0","0","-","0.34","0.66","33.97","5","8","38.46","1","3","25.00","0","0","-","4","5","44.44","0","0","-","4","12","25.00","0","0","-","0.00","100.00","1.000","5","7","4","26","55.56","5","10","8","38.46"
"169","Ryan McDonagh","T.B","D","82","1811.2333333333","1525","1893","44.62","1186","1425","45.42","883","1050","45.68","109","84","56.48","78.4","85.08","47.96","790","918","46.25","310","343","47.47","57","47","54.81","480","575","45.50","29","25","53.70","644","845","43.25","18","12","60.00","12.34","92.00","1.043","194","416","380","1072","33.80","465","640","769","37.68"
"417","Ryan Murphy","MIN, N.J","D","3","33.5","24","40","37.50","17","31","35.42","10","21","32.26","2","0","100.00","1.03","1.96","34.59","9","21","30.00","4","9","30.77","1","0","100.00","5","12","29.41","1","0","100.00","13","16","44.83","0","0","-","20.00","100.00","1.200","4","9","3","28","57.14","11","12","10","52.38"
"443","Ryan Murray","CBJ","D","56","1200.6","1052","1172","47.30","830","874","48.71","608","630","49.11","69","61","53.08","55.22","53.99","50.56","514","547","48.44","212","218","49.30","38","35","52.05","302","329","47.86","17","18","48.57","437","504","46.44","9","8","52.94","11.35","90.32","1.017","187","273","265","774","41.37","347","400","512","40.40"
"407","Ryan Nugent-Hopkins","EDM","C","82","1648.3833333333","1561","1545","50.26","1159","1158","50.02","854","841","50.38","103","97","51.50","82.95","82.33","50.19","821","748","52.33","351","332","51.39","55","46","54.46","470","416","53.05","37","18","67.27","615","646","48.77","10","25","28.57","12.06","88.47","1.005","346","354","368","924","48.46","644","495","591","52.15"
"234","Ryan O'Reilly","STL","C","82","1701.6833333333","1792","1466","55.00","1361","1092","55.48","999","781","56.12","110","68","61.80","93.74","75.89","55.26","936","714","56.73","371","280","56.99","47","41","53.41","565","434","56.56","38","12","76.00","723","633","53.32","21","9","70.00","11.01","91.29","1.023","369","382","412","933","47.25","723","560","713","50.35"
"852","Ryan Poehling","MTL","C","1","11.366666666667","18","12","60.00","14","7","66.67","13","4","76.47","3","0","100.00","0.69","0.36","65.88","9","7","56.25","2","1","66.67","1","0","100.00","7","6","53.85","2","0","100.00","8","4","66.67","0","0","-","23.08","100.00","1.231","3","3","1","12","75.00","4","3","2","66.67"
"586","Ryan Pulock","NYI","D","82","1833.8166666667","1496","1741","46.22","1117","1260","46.99","830","915","47.56","84","70","54.55","75.9","78.29","49.23","784","855","47.83","354","340","51.01","45","42","51.72","430","515","45.50","25","11","69.44","581","717","44.76","9","13","40.91","10.12","92.35","1.025","217","334","303","1422","41.73","487","540","592","45.13"
