,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Dougie Hamilton,CAR,D,82,12,31,43,-14,46,190,3,5,11,0,0,78,106
Freddie Hamilton,FA,C,4,1,1,2,1,0,7,0,0,0,1,0,8,2
Travis Hamonic,CGY,D,72,5,16,21,-5,35,147,1,0,0,1,0,148,128
Noah Hanifin,CGY,D,79,4,18,22,-14,22,122,0,1,6,0,0,67,78
Joel Hanley,DAL,D,10,0,6,6,0,0,10,0,0,0,0,0,6,19
Markus Hannikainen,CLS,RW,4,0,0,0,-2,0,3,0,0,0,0,0,7,0
Jannik Hansen,FA,RW,67,22,16,38,16,32,117,5,1,0,1,0,39,19
Martin Hanzal,DAL,C,64,13,28,41,-5,77,141,2,3,10,1,0,126,28
Ben Harpur,TOR,D,5,0,1,1,1,2,3,0,0,0,0,0,9,7
Scott Harrington,CLS,D,15,0,1,1,0,4,9,0,0,0,0,0,23,16
Ryan Hartman,MIN,RW,3,0,1,1,-1,0,3,0,0,0,0,0,5,3
Scott Hartnell,FA,LW,79,23,26,49,-11,112,150,1,10,2,0,0,131,41
Garnet Hathaway,WAS,RW,14,0,3,3,-1,31,11,0,0,0,0,1,50,17
Erik Haula,CAR,C,76,14,20,34,21,24,99,2,0,1,2,2,57,55
Martin Havlat,FA,RW,2,1,0,1,0,0,3,1,0,0,0,0,1,0
Jimmy Hayes,FA,RW,75,13,16,29,-12,60,127,0,3,2,0,0,128,15
Kevin Hayes,PHI,C,79,14,22,36,4,30,133,3,3,3,0,0,59,23
Victor Hedman,TB,D,78,10,37,47,21,46,180,0,1,10,0,1,62,132
Seth Helgeson,NYI,D,19,0,1,1,-5,17,9,0,0,0,0,0,46,23
Darren Helm,DET,C,77,13,13,26,-2,32,165,3,0,0,0,0,115,26
Ales Hemsky,FA,RW,75,13,26,39,3,20,155,0,1,4,0,0,25,26
Matt Hendricks,FA,LW,68,5,7,12,2,82,62,0,0,0,1,1,175,68
Adam Henrique,ANH,C,80,30,20,50,10,23,149,8,7,5,2,1,66,56
Tomas Hertl,SJ,LW,81,21,25,46,16,26,202,3,3,4,0,0,90,60
Thomas Hickey,NYI,D,62,6,12,18,9,30,55,2,0,0,0,0,65,90
Chris Higgins,FA,LW,33,3,1,4,-14,4,51,0,0,0,1,0,15,18
Vinnie Hinostroza,ARI,C,7,0,0,0,-1,6,6,0,0,0,0,0,2,2
Niklas Hjalmarsson,ARI,D,81,2,22,24,13,32,77,0,0,2,0,3,32,151
Cody Hodgson,FA,LW,39,3,5,8,2,6,65,2,0,1,0,0,25,6
Mike Hoffman,FLA,LW,78,29,30,59,1,18,242,3,9,4,0,0,22,29
Nick Holden,VGK,D,82,6,16,22,-1,24,98,0,0,1,0,0,217,118
Peter Holland,FA,C,65,9,18,27,-16,28,138,1,5,6,0,0,78,19
Korbinian Holzer,ANH,D,29,0,3,3,-3,10,17,0,0,0,0,0,57,32
Shawn Horcoff,FA,C,59,6,9,15,1,34,73,2,0,0,1,1,58,24
Patric Hornqvist,PIT,RW,82,22,29,51,15,36,257,3,9,6,0,0,160,54
Bo Horvat,VAN,C,82,16,24,40,-30,18,155,4,4,8,0,0,69,53
Marian Hossa,ARI,RW,64,13,20,33,10,24,191,2,2,7,3,1,37,33
Quinton Howden,FA,LW,58,6,5,11,-1,18,54,0,0,0,0,0,116,10
Marek Hrivik,FA,LW,5,0,1,1,3,0,3,0,0,0,0,0,6,1
Jonathan Huberdeau,FLA,LW,76,20,39,59,17,43,174,2,4,9,1,0,53,36
Jiri Hudler,FA,RW,72,16,30,46,-1,27,109,1,3,7,0,0,28,7
Charles Hudon,MON,LW,3,0,2,2,2,0,3,0,0,0,0,0,7,1
Brad Hunt,MIN,D,7,0,0,0,-1,2,12,0,0,0,0,0,7,7
Matt Hunwick,BUF,D,60,2,8,10,-17,32,74,1,0,2,0,0,126,98
Ben Hutton,FA,D,75,1,24,25,-21,14,104,0,0,7,0,0,42,100
Zach Hyman,TOR,RW,16,4,2,6,0,18,37,0,0,0,0,0,31,8
Jarome Iginla,FA,RW,82,22,25,47,-22,41,182,3,13,6,0,0,70,45
Matt Irwin,NSH,D,2,0,0,0,-5,0,3,0,0,0,0,0,1,0
Barret Jackman,FA,D,73,1,4,5,1,76,64,1,0,0,0,0,100,86
Tim Jackman,FA,RW,2,0,0,0,-2,4,1,0,0,0,0,0,2,0
Jaromir Jagr,FA,RW,79,27,39,66,23,48,143,4,5,6,0,0,31,16
Mattias Janmark,DAL,C,73,15,14,29,12,16,108,3,0,1,1,0,4,21
Calle Jarnkrok,NSH,C,81,16,14,30,1,14,125,4,3,1,1,0,35,24
Dmitrij Jaskin,FA,RW,65,4,9,13,3,26,92,1,0,0,0,0,126,16
Dustin Jeffrey,FA,C,7,1,1,2,2,2,5,0,0,0,0,0,2,1
Boone Jenner,CLS,LW,82,30,19,49,-15,77,225,3,9,5,1,0,213,71
Ryan Johansen,NSH,C,80,14,46,60,6,61,185,2,4,18,0,0,115,30
Marcus Johansson,BUF,LW,74,17,29,46,12,16,132,7,6,8,0,0,38,24
Stephen Johns,DAL,D,14,1,2,3,-6,6,13,0,0,0,0,0,55,21
Erik Johnson,COL,D,73,11,16,27,-19,50,175,0,3,3,2,1,126,197
Jack Johnson,PIT,D,60,6,8,14,-16,25,86,2,3,3,0,0,98,102
Tyler Johnson,TB,C,69,14,24,38,4,20,167,7,3,10,0,0,46,25
Ross Johnston,NYI,LW,1,0,0,0,0,4,0,0,0,0,0,0,6,0
Ryan Johnston,TOR,D,3,0,0,0,1,0,1,0,0,0,0,0,2,2
Jussi Jokinen,FA,LW,81,18,42,60,25,42,153,1,5,7,1,1,43,50
Jyrki Jokipakka,FA,D,58,2,10,12,4,14,45,1,0,0,0,0,69,66
David Jones,FA,RW,75,11,7,18,-7,10,84,2,1,0,0,0,147,33
Seth Jones,CLS,D,81,3,28,31,-14,22,157,0,1,12,0,1,86,118
Josh Jooris,FA,C,59,4,9,13,-1,39,80,0,0,0,0,2,62,33
Michal Jordan,FA,D,36,1,0,1,-5,12,36,0,0,0,0,0,24,34
Jacob Josefson,FA,C,58,4,10,14,-21,20,86,1,3,8,0,1,67,40
Roman Josi,NSH,D,81,14,47,61,-3,43,198,3,6,18,1,1,59,185
Tomas Jurco,EDM,RW,44,4,2,6,-6,16,43,0,0,0,0,0,50,4
Nazem Kadri,COL,C,76,17,28,45,-15,73,260,2,4,10,0,0,148,43
Sergey Kalinin,FA,LW,78,8,7,15,-9,33,70,2,3,0,0,0,146,30
Steve Kampfer,BOS,D,47,0,4,4,5,26,54,0,0,1,0,0,70,70
Evander Kane,SJ,LW,65,20,15,35,-14,91,271,3,2,4,1,0,171,23
Patrick Kane,CHI,RW,82,46,60,106,17,30,287,9,17,20,0,0,37,21
Kasperi Kapanen,TOR,RW,9,0,0,0,-3,2,14,0,0,0,0,0,10,1
Erik Karlsson,SJ,D,82,16,66,82,-2,50,248,3,1,25,0,0,84,175
Melker Karlsson,SJ,C,65,10,9,19,5,16,96,1,0,0,0,0,76,48
William Karlsson,VGK,C,81,9,11,20,-9,6,108,1,0,0,0,0,40,48
Zack Kassian,EDM,RW,36,3,5,8,-7,114,42,0,0,0,0,0,95,6
Bracken Kearns,FA,C,2,0,1,1,1,4,0,0,0,0,0,1,5,2
Duncan Keith,CHI,D,67,9,34,43,13,26,130,4,4,14,0,1,16,116
Chris Kelly,FA,RW,11,2,0,2,3,0,8,0,0,0,1,0,13,13
Joonas Kemppainen,FA,C,44,2,3,5,-6,4,35,0,0,0,1,0,36,18
Ronalds Kenins,FA,C,8,0,0,0,-1,6,6,0,0,0,0,0,19,2
Tyler Kennedy,FA,LW,50,3,13,16,-14,14,72,0,1,5,0,0,35,9
Michael Keranen,FA,LW,1,0,0,0,-1,0,0,0,0,0,0,0,1,0
Tanner Kero,DAL,LW,17,1,2,3,-2,2,26,0,0,0,0,0,19,10
Ryan Kesler,ANH,C,79,21,32,53,5,78,164,4,5,10,1,0,168,92
Phil Kessel,ARI,RW,82,26,33,59,9,18,274,5,4,13,0,0,9,13
Jujhar Khaira,EDM,C,15,0,2,2,-2,13,14,0,0,0,0,0,29,6
Alexander Khokhlachev,FA,C,5,0,0,0,-2,0,4,0,0,0,0,0,2,1
Alex Killorn,TB,C,81,14,26,40,14,44,154,3,3,3,0,1,76,23
Jakub Kindl,FA,D,44,2,6,8,13,18,63,1,0,1,0,0,39,24
Dwight King,FA,LW,47,7,6,13,-6,24,48,2,0,0,0,0,73,6
Oscar Klefbom,EDM,D,30,4,8,12,-4,6,48,1,0,3,0,0,21,62
Kevin Klein,FA,D,69,9,17,26,16,19,69,4,0,1,0,0,117,155
John Klingberg,DAL,D,76,10,48,58,22,30,171,4,2,20,0,0,44,68
Rob Klinkhammer,FA,LW,14,1,0,1,-6,6,10,0,0,0,0,0,47,4
Corban Knight,FA,C,20,2,5,7,3,4,11,0,0,0,0,0,18,2
Slater Koekkoek,CHI,D,9,0,1,1,-1,2,11,0,0,0,0,0,6,5
Mikko Koivu,MIN,C,82,17,39,56,6,40,141,2,10,10,1,1,38,57
Leo Komarov,NYI,LW,67,19,17,36,-12,40,130,2,4,3,1,0,283,27
Anze Kopitar,LA,C,81,25,49,74,34,16,177,8,5,13,1,2,78,65
Lauri Korpikoski,FA,LW,71,10,12,22,-17,10,88,2,2,4,1,0,100,56
Scott Kosmachuk,FA,RW,8,0,3,3,1,2,9,0,0,0,0,0,7,2
Mike Kostka,FA,D,15,0,1,1,6,4,9,0,0,0,0,0,7,20
Chris Kreider,NYR,LW,79,21,22,43,10,58,158,3,5,3,0,0,177,33
David Krejci,BOS,C,72,17,46,63,4,32,143,3,4,14,0,3,43,57
Niklas Kronwall,FA,D,64,3,23,26,-21,30,61,2,0,14,0,0,93,81
Torey Krug,BOS,D,81,4,40,44,9,33,244,1,1,18,0,0,61,94
Marcus Kruger,FA,C,41,0,4,4,-5,24,50,0,0,0,0,0,25,31
Nikita Kucherov,TB,RW,77,30,36,66,9,30,209,4,9,16,0,0,61,28
Tom Kuhnhackl,NYI,RW,42,5,10,15,3,24,52,1,0,0,2,0,57,32
Dean Kukan,CLS,D,8,0,0,0,9,0,3,0,0,0,0,0,7,10
Brett Kulak,MON,D,8,0,0,0,-2,0,9,0,0,0,0,0,2,3
Nikolay Kulemin,FA,RW,81,9,13,22,13,22,92,3,0,0,0,0,107,50
Dmitry Kulikov,WPG,D,74,1,16,17,8,51,99,1,0,6,0,0,122,121
Chris Kunitz,FA,LW,80,17,23,40,29,41,150,1,2,4,0,0,264,33
Evgeny Kuznetsov,WAS,C,82,20,57,77,27,32,193,4,5,13,0,0,73,29
Oliver Kylington,CGY,D,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Andrew Ladd,NYI,LW,78,25,21,46,-13,45,181,3,10,4,2,0,155,42
Brooks Laich,FA,C,81,2,12,14,-13,18,101,1,0,0,0,1,126,34
Anton Lander,FA,C,61,1,2,3,-9,18,54,0,0,0,0,0,58,19
Gabriel Landeskog,COL,LW,75,20,33,53,-5,69,169,2,4,10,1,2,141,66
Dylan Larkin,DET,C,80,23,22,45,11,34,221,5,4,1,0,0,65,25
Adam Larsson,EDM,D,82,3,15,18,15,77,65,1,0,0,0,1,163,148
Johan Larsson,BUF,C,74,10,7,17,-4,27,95,5,1,3,0,0,113,33
Michael Latta,FA,C,43,3,4,7,0,50,29,0,0,0,0,0,58,10
Scott Laughton,PHI,C,71,7,14,21,-2,34,85,0,0,0,0,0,86,29
Curtis Lazar,BUF,C,76,6,14,20,-1,18,78,0,1,1,1,3,118,47
Vincent Lecavalier,FA,C,49,10,8,18,0,22,67,0,6,1,0,0,62,22
Nick Leddy,NYI,D,81,5,35,40,-9,25,121,1,3,16,0,0,83,87
Anders Lee,NYI,C,80,15,21,36,-2,51,183,3,8,6,0,0,164,31
David Legwand,FA,C,79,5,9,14,-4,14,61,0,0,1,1,1,28,18
Jori Lehtera,FA,C,79,9,25,34,12,38,83,3,1,8,0,0,43,26
Taylor Leier,BUF,LW,6,0,0,0,0,0,3,0,0,0,0,0,2,3
Brendan Leipsic,WAS,LW,6,1,2,3,-1,2,11,1,0,1,0,0,12,6
Josh Leivo,VAN,LW,12,5,0,5,2,6,20,1,1,0,0,0,7,3
Chase De Leo,ANH,C,2,0,0,0,1,0,2,0,0,0,0,0,3,0
Bryan Lerg,FA,LW,6,0,0,0,1,0,4,0,0,0,0,0,13,3
Brett Lernout,VGK,D,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Lucas Lessio,FA,LW,12,1,1,2,1,2,14,1,0,0,0,0,24,5
Kris Letang,PIT,D,71,16,51,67,9,66,218,2,5,22,0,3,135,122
Mark Letestu,WPG,C,82,10,15,25,-21,10,107,0,3,9,2,1,68,33
Trevor Lewis,LA,C,75,8,8,16,-10,20,167,1,0,1,1,0,168,28
John-Michael Liles,FA,D,81,6,15,21,-10,18,111,1,1,2,1,0,81,127
Oscar Lindberg,FA,C,68,13,15,28,12,43,114,2,1,2,0,0,132,36
Tobias Lindberg,FA,LW,6,0,2,2,0,4,12,0,0,0,0,0,10,1
Petteri Lindbohm,FA,D,10,0,0,0,-4,7,9,0,0,0,0,0,14,11
Esa Lindell,DAL,D,4,0,0,0,-3,0,2,0,0,0,0,0,4,9
Elias Lindholm,CGY,RW,82,11,28,39,-23,24,176,3,2,14,0,0,112,45
Hampus Lindholm,ANH,D,80,10,18,28,7,40,149,1,4,11,1,0,68,115
J.C. Lipon,WPG,RW,9,0,1,1,0,5,4,0,0,0,0,0,29,2
Bryan Little,WPG,C,57,17,25,42,-13,12,127,2,2,10,2,0,48,22
Viktor Loov,FA,D,4,0,2,2,4,0,1,0,0,0,0,0,8,1
Ben Lovejoy,FA,D,66,4,6,10,9,30,90,0,0,0,0,1,154,104
Adam Lowry,WPG,LW,74,7,10,17,-9,53,73,2,0,0,0,0,187,48
Milan Lucic,CGY,LW,81,20,35,55,26,79,124,5,2,6,0,0,244,22
Joffrey Lupul,FA,LW,46,11,3,14,-10,12,102,2,2,2,0,0,58,14
Olli Maatta,CHI,D,67,6,13,19,27,22,95,2,0,1,0,1,81,87
Clarke MacArthur,OTT,LW,4,0,0,0,-1,0,4,0,0,0,0,0,3,1
Andrew MacDonald,CGY,D,28,1,7,8,10,6,20,0,0,2,0,0,14,72
Derek MacKenzie,FA,C,64,6,7,13,7,36,79,3,0,0,0,1,154,38
Nathan MacKinnon,COL,C,72,21,31,52,-4,20,245,6,7,9,0,1,46,53
Evgeni Malkin,PIT,C,57,27,31,58,1,65,162,6,11,16,0,0,27,19
Brad Malone,EDM,C,57,2,4,6,-11,75,31,0,0,0,0,0,124,15
Brandon Manning,EDM,D,56,1,6,7,2,66,67,1,0,0,0,0,94,57
Josh Manson,ANH,D,71,5,10,15,11,74,88,1,0,0,0,0,158,67
Anthony Mantha,DET,RW,10,2,1,3,-6,2,18,1,2,0,0,0,4,3
Brad Marchand,BOS,LW,77,37,24,61,21,90,250,6,6,2,4,2,65,35
Alexey Marchenko,FA,D,66,2,9,11,-5,10,40,0,0,0,0,1,47,100
Jonathan Marchessault,VGK,LW,45,7,11,18,-10,17,81,1,4,3,0,0,61,9
Martin Marincin,TOR,D,65,1,6,7,-3,34,55,0,0,0,0,0,37,63
Andrei Markov,FA,D,82,5,39,44,-6,38,117,0,4,13,0,0,57,142
Patrick Marleau,FA,LW,82,25,23,48,-22,10,216,5,11,14,1,0,64,36
Patrick Maroon,TB,LW,72,12,15,27,-7,88,104,1,5,3,0,0,151,10
Matt Martin,NYI,LW,80,10,9,19,2,119,86,1,0,0,0,0,365,24
Paul Martin,FA,D,78,3,17,20,13,22,49,0,1,1,0,0,54,123
Alec Martinez,LA,D,78,10,21,31,16,40,124,4,4,9,0,1,164,182
Jordan Martinook,CAR,LW,81,9,15,24,-9,18,109,2,0,1,1,1,52,40
Andreas Martinsen,ANH,LW,55,4,7,11,-4,47,52,1,0,0,0,0,155,27
Brandon Mashinter,FA,LW,41,4,1,5,-7,23,25,0,0,0,0,0,62,3
Mike Matheson,FLA,D,3,0,0,0,1,2,4,0,0,0,0,0,1,1
Stefan Matteau,CLS,RW,32,1,1,2,-13,17,27,0,0,0,0,0,67,7
Shawn Matthias,FA,C,71,12,16,28,-17,20,101,2,0,0,0,1,68,39
Scott Mayfield,NYI,D,6,1,0,1,-4,11,4,0,0,0,0,0,12,15
Jamie McBain,FA,D,44,2,7,9,2,6,32,0,1,5,0,0,20,38
Jake McCabe,BUF,D,77,4,10,14,6,51,62,0,0,0,0,0,114,109
Jared McCann,PIT,C,69,9,9,18,-6,32,106,1,1,2,0,0,45,19
Michael McCarron,MON,C,20,1,1,2,-10,37,41,0,0,0,0,0,49,8
John McCarthy,SJ,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Jay McClement,FA,C,77,3,8,11,-17,24,64,0,0,0,1,0,79,31
Max McCormick,CAR,LW,20,2,2,4,-4,37,37,0,0,0,0,0,46,11
Connor McDavid,EDM,C,45,16,32,48,-1,18,105,5,3,11,0,0,12,10
Ryan McDonagh,TB,D,73,9,25,34,26,22,113,0,2,7,0,1,98,138
Colin McDonald,NYI,RW,5,1,0,1,0,7,4,0,0,0,0,0,16,1
John McFarland,FA,LW,3,0,0,0,-1,0,2,0,0,0,0,0,5,3
Brock McGinn,CAR,LW,21,3,1,4,-14,10,25,0,0,0,0,0,28,6
Jamie McGinn,FA,LW,84,22,17,39,-7,33,156,5,9,3,0,0,164,27
Tye McGinn,VGK,LW,2,0,0,0,0,0,1,0,0,0,0,0,0,0
Dylan McIlrath,DET,D,34,2,2,4,7,64,28,0,0,0,0,0,93,35
Greg McKegg,NYR,C,15,2,0,2,1,2,14,0,0,0,0,0,20,6
Curtis McKenzie,VGK,LW,3,0,0,0,-1,0,3,0,0,0,0,0,4,1
Cody McLeod,FA,LW,82,8,5,13,1,138,73,1,1,0,0,0,240,28
Brayden McNabb,VGK,D,81,2,12,14,11,92,91,1,0,1,0,1,206,95
Mark McNeill,FA,C,1,0,0,0,0,0,0,0,0,0,0,0,3,0
Adam McQuaid,FA,D,64,1,8,9,6,89,42,0,0,0,0,0,142,121
Yevgeni Medvedev,FA,D,45,4,8,12,5,34,71,1,1,2,0,0,38,34
Jayson Megna,COL,LW,6,1,1,2,-1,2,9,0,0,0,0,0,6,1
Julian Melchiori,NJ,D,11,0,0,0,1,0,12,0,0,0,0,0,18,9
Jon Merrill,VGK,D,47,1,4,5,-15,28,30,1,0,1,0,0,48,54
Michael Mersch,DAL,LW,17,1,2,3,1,0,23,0,0,0,0,0,26,10
Marc Methot,FA,D,69,5,7,12,12,34,74,0,0,0,0,0,124,90
Milan Michalek,FA,LW,45,7,9,16,0,18,64,0,3,3,0,0,42,27
Zbynek Michalek,FA,D,70,2,5,7,3,20,69,0,0,0,0,0,84,125
Sonny Milano,CLS,LW,3,0,1,1,1,0,2,0,0,0,0,0,4,2
Andrew Miller,FA,RW,6,0,0,0,-1,0,3,0,0,0,0,0,4,0
Colin Miller,BUF,D,42,3,13,16,0,39,59,0,0,5,0,0,45,36
Drew Miller,FA,LW,28,1,1,2,-5,2,27,0,0,0,0,0,39,33
J.T. Miller,VAN,C,82,22,21,43,10,46,135,5,2,2,0,0,174,48
Kevan Miller,BOS,D,71,5,13,18,15,53,64,0,0,1,0,0,164,123
John Mitchell,FA,C,71,10,11,21,-7,52,101,3,0,1,0,0,85,65
Torrey Mitchell,FA,C,71,11,8,19,2,51,69,3,0,0,1,2,67,38
Willie Mitchell,FA,D,46,1,6,7,-2,18,33,1,0,0,0,0,68,70
Travis Moen,FA,LW,23,0,2,2,-3,21,12,0,0,0,0,1,30,13
Sean Monahan,CGY,C,81,27,36,63,-6,18,197,5,7,13,0,0,38,37
Dominic Moore,FA,C,80,6,9,15,-2,32,94,2,0,0,0,0,51,35
John Moore,BOS,D,73,4,15,19,-12,28,106,3,1,5,0,0,93,83
Josh Morrissey,WPG,D,1,0,0,0,0,0,1,0,0,0,0,0,1,2
Joe Morrow,NYR,D,33,1,6,7,-7,4,44,0,0,2,0,0,28,35
Kael Mouillierat,FA,LW,1,0,0,0,0,2,1,0,0,0,0,0,4,0
Matt Moulson,WAS,LW,81,8,13,21,-5,16,111,1,2,5,0,0,45,23
Vojtech Mozik,NJ,D,7,0,0,0,0,4,6,0,0,0,0,0,12,5
Mirco Mueller,NJ,D,11,0,0,0,-4,7,8,0,0,0,0,0,2,3
Connor Murphy,CHI,D,78,6,11,17,5,48,101,1,1,2,0,0,175,139
Ryan Murphy,FA,D,35,0,10,10,-1,10,47,0,0,1,0,0,25,22
Ryan Murray,CLS,D,82,4,21,25,-10,40,90,0,1,10,0,0,51,171
Jake Muzzin,TOR,D,82,8,32,40,7,64,203,1,1,12,0,1,197,135
Tyler Myers,VAN,D,73,9,18,27,6,72,140,0,0,2,0,1,54,95
Jakub Nakladal,FA,D,27,2,3,5,-5,6,42,0,0,1,0,0,41,23
Vladislav Namestnikov,NYR,C,80,14,21,35,17,45,106,2,1,3,0,0,49,33
Rick Nash,FA,LW,60,15,21,36,8,30,183,4,4,2,0,1,69,24
Riley Nash,CLS,C,64,9,13,22,-5,18,76,1,2,4,0,0,58,21
James Neal,EDM,RW,82,31,27,58,27,65,268,3,4,10,0,0,113,31
Chris Neil,FA,RW,80,5,8,13,-3,165,70,0,0,0,0,0,215,12
Brock Nelson,NYI,C,81,26,14,40,-3,30,165,3,3,2,0,0,59,50
Casey Nelson,BUF,D,7,0,4,4,1,8,5,0,0,2,0,0,5,4
Patrik Nemeth,DET,D,38,0,8,8,-1,14,36,0,0,1,0,0,58,47
Aaron Ness,FA,D,8,0,2,2,4,2,8,0,0,0,0,0,4,7
Nikita Nesterov,FA,D,57,3,6,9,-6,41,57,0,2,2,0,0,95,31
Andrej Nestrasil,FA,C,55,9,14,23,4,8,105,1,2,0,0,0,27,13
Valeri Nichushkin,COL,LW,79,9,20,29,2,12,139,1,1,1,0,0,68,33
Nino Niederreiter,CAR,RW,82,20,23,43,9,36,159,1,2,3,0,0,129,19
Frans Nielsen,DET,C,81,20,32,52,1,12,181,2,7,13,2,0,35,92
Matt Nieto,COL,LW,68,8,9,17,-8,10,90,1,0,1,2,0,33,33
Nikita Nikitin,FA,D,11,0,1,1,-5,8,12,0,0,0,0,0,14,9
Matt Niskanen,PHI,D,82,5,27,32,10,38,150,3,2,14,0,0,157,145
Stefan Noesen,DAL,C,1,0,0,0,0,0,0,0,0,0,0,0,3,0
Jordan Nolan,STL,RW,52,0,5,5,0,38,49,0,0,0,0,0,78,8
Joakim Nordstrom,BOS,C,71,10,14,24,1,12,81,1,0,0,1,0,98,32
Tomas Nosek,VGK,LW,6,0,0,0,-2,2,2,0,0,0,0,0,6,0
Ryan Nugent-Hopkins,EDM,LW,55,12,22,34,-9,18,108,1,4,7,0,0,39,36
Darnell Nurse,EDM,D,69,3,7,10,-13,60,120,0,0,1,0,1,160,103
William Nylander,TOR,C,22,6,7,13,1,4,43,1,1,2,0,0,5,5
Gustav Nyquist,CLS,RW,82,17,26,43,-2,34,161,3,7,5,0,0,58,19
Eric Nystrom,FA,LW,46,7,0,7,-6,20,27,1,0,0,1,0,92,26
Jim O'Brien,FA,C,4,0,0,0,-4,2,3,0,0,0,0,0,7,2
Brian O'Neill,FA,C,22,0,2,2,-3,8,14,0,0,0,0,0,36,9
Cal O'Reilly,PHI,C,20,3,4,7,-1,2,10,1,1,1,0,0,3,5
Ryan O'Reilly,STL,C,71,21,39,60,-16,8,157,2,8,14,1,0,17,43
Johnny Oduya,FA,D,82,4,17,21,8,26,63,0,0,0,1,1,73,172
Jordan Oesterle,ARI,D,17,0,5,5,1,0,24,0,0,0,0,0,11,26
Kyle Okposo,BUF,RW,79,22,42,64,-4,51,202,4,7,16,0,0,90,39
Jamie Oleksiak,DAL,D,19,0,2,2,-5,21,13,0,0,0,0,0,54,29
Gustav Olofsson,MON,D,2,0,0,0,0,0,1,0,0,0,0,0,2,0
Dylan Olsen,FA,D,8,0,1,1,-1,2,9,0,0,0,0,0,6,7
Dmitry Orlov,WAS,D,82,8,21,29,8,26,90,3,0,2,0,0,121,61
Brooks Orpik,FA,D,41,3,7,10,11,24,31,1,0,0,0,0,125,102
T.J. Oshie,WAS,RW,80,26,25,51,16,34,185,5,11,6,0,0,134,62
Steve Ott,FA,C,21,0,2,2,-3,34,21,0,0,0,0,0,34,5
Xavier Ouellet,MON,D,5,0,1,1,-2,2,4,0,0,0,0,0,5,3
Alex Ovechkin,WAS,LW,79,50,21,71,21,53,398,8,19,5,0,0,225,34
Magnus Paajarvi,FA,LW,48,3,6,9,-9,8,88,1,0,0,0,0,44,16
Max Pacioretty,VGK,LW,82,30,34,64,-10,34,303,6,8,9,1,0,102,37
Jean-Gabriel Pageau,OTT,C,82,19,24,43,17,26,133,2,1,1,7,2,166,60
Daniel Paille,FA,LW,12,0,0,0,-2,0,11,0,0,0,0,0,16,9
Iiro Pakarinen,FA,RW,63,5,8,13,-10,8,76,0,0,2,0,0,152,21
Ondrej Palat,TB,LW,62,16,24,40,10,20,117,4,1,6,2,1,108,39
Michael Paliotta,NJ,D,1,0,0,0,0,4,2,0,0,0,0,0,0,1
Kyle Palmieri,NJ,RW,82,30,27,57,3,39,222,4,11,12,0,0,129,51
Artemi Panarin,NYR,LW,80,30,47,77,8,32,187,7,8,16,0,0,46,14
Richard Panik,WAS,RW,30,6,2,8,4,6,39,1,0,0,0,0,54,11
Cedric Paquette,TB,C,56,6,5,11,-2,51,50,1,0,0,1,0,137,31
Colton Parayko,STL,D,79,9,24,33,28,29,165,3,3,4,0,0,102,122
Adam Pardy,FA,D,23,0,4,4,-7,14,22,0,0,0,0,1,32,32
P.A. Parenteau,FA,RW,77,20,21,41,0,68,168,3,7,4,0,0,48,26
Zach Parise,MIN,LW,70,25,28,53,-3,36,234,7,7,11,0,0,71,42
David Pastrnak,BOS,RW,51,15,11,26,3,20,108,2,0,1,0,0,52,15
Greg Pateryn,MIN,D,38,1,6,7,-8,49,32,0,0,0,0,0,100,52
Nick Paul,OTT,LW,24,2,3,5,-3,6,28,0,0,0,0,0,43,9
Joe Pavelski,DAL,C,82,38,40,78,25,30,224,11,12,16,0,0,147,67
Tanner Pearson,VAN,LW,79,15,21,36,11,18,137,4,2,2,0,0,104,34
Andrey Pedan,FA,D,13,0,0,0,-3,18,11,0,0,0,0,0,40,8
Adam Pelech,NYI,D,9,0,2,2,-1,0,8,0,0,0,0,0,16,16
Anthony Peluso,EDM,RW,35,1,4,5,4,44,16,0,0,0,0,0,81,4
Stuart Percy,FA,D,3,0,0,0,-2,0,1,0,0,0,0,0,4,3
Mathieu Perreault,WPG,C,71,9,32,41,-11,36,133,1,6,9,0,0,83,33
David Perron,STL,RW,71,12,24,36,-1,62,147,1,4,8,0,0,142,23
Corey Perry,DAL,RW,82,34,28,62,2,68,215,6,12,12,0,0,104,36
Brett Pesce,CAR,D,69,4,12,16,-7,16,85,1,1,4,0,0,30,83
Nicolas Petan,TOR,C,26,2,4,6,2,10,25,0,0,1,0,0,7,4
Alex Petrovic,BOS,D,66,2,15,17,17,90,53,0,0,0,0,1,157,76
Jeff Petry,MON,D,51,5,11,16,-6,16,98,2,1,4,0,3,86,73
Dion Phaneuf,FA,D,71,4,28,32,-7,90,144,0,0,9,0,2,168,89
Blake Pietila,ANH,LW,7,1,1,2,0,2,10,0,0,0,0,0,19,3
Alex Pietrangelo,STL,D,73,7,30,37,10,20,182,1,1,4,0,1,48,136
Brandon Pirri,VGK,C,61,14,15,29,-4,30,128,3,3,7,0,0,66,14
