"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"570","Aaron Ekblad","FLA","D","82","190.45","74","266","21.76","66","202","24.63","57","136","29.53","2","24","7.69","3.62","17.69","16.99","37","140","20.90","16","52","23.53","0","10","0.00","21","88","19.27","2","8","20.00","23","117","16.43","0","6","0.00","3.51","82.35","0.859","3","32","137","91","2.14","12","52","199","5.69"
"369","Adam Clendening","CBJ","D","4","6","2","10","16.67","2","8","20.00","1","7","12.50","0","1","0.00","0.1","0.6","14.29","1","8","11.11","0","0","-","0","0","-","1","8","11.11","0","1","0.00","1","2","33.33","0","0","-","0.00","85.71","0.857","0","0","1","9","0.00","0","0","1","0.00"
"72","Adam Cracknell","ANA","R","2","0.33333333333333","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","2","-","0","0","0","-"
"521","Adam Erne","T.B","L","65","19.566666666667","7","22","24.14","6","20","23.08","6","15","28.57","1","1","50.00","0.3","2","12.88","4","15","21.05","3","7","30.00","1","1","50.00","1","8","11.11","0","0","-","0","4","0.00","0","0","-","16.67","93.33","1.100","0","6","4","32","0.00","0","9","5","0.00"
"693","Adam Gaudette","VAN","C","56","0.75","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","1","0","1","-","0","1","0","-"
"199","Adam Henrique","ANA","C","82","90.333333333333","17","143","10.63","16","113","12.40","12","91","11.65","1","10","9.09","0.76","10.54","6.70","6","82","6.82","4","33","10.81","1","5","16.67","2","49","3.92","0","5","0.00","4","55","6.78","0","0","-","8.33","89.01","0.973","3","7","82","101","3.53","4","10","98","3.92"
"386","Adam Larsson","EDM","D","82","165.33333333333","40","235","14.55","35","190","15.56","25","142","14.97","3","26","10.34","2.52","16.32","13.38","22","112","16.42","13","50","20.63","3","12","20.00","9","62","12.68","0","9","0.00","10","121","7.63","0","5","0.00","12.00","81.69","0.937","2","21","115","86","1.71","8","43","170","4.49"
"359","Adam Lowry","WPG","C","78","177.66666666667","32","305","9.50","30","228","11.63","23","169","11.98","4","17","19.05","2.34","20.03","10.45","20","131","13.25","12","60","16.67","2","8","20.00","8","71","10.13","2","4","33.33","7","157","4.27","0","5","0.00","17.39","89.94","1.073","1","38","157","103","0.63","2","50","199","1.00"
"87","Adam McQuaid","CBJ, NYR","D","50","86.683333333333","21","131","13.82","17","101","14.41","14","79","15.05","2","10","16.67","1.32","9.71","11.95","14","70","16.67","7","30","18.92","2","5","28.57","7","40","14.89","0","3","0.00","4","57","6.56","0","2","0.00","14.29","87.34","1.016","2","7","42","78","4.55","4","18","56","6.67"
"451","Adam Pelech","NYI","D","78","125.63333333333","14","205","6.39","13","153","7.83","11","122","8.27","1","18","5.26","0.72","15.1","4.58","6","115","4.96","5","53","8.62","1","10","9.09","1","62","1.59","0","3","0.00","2","85","2.30","0","5","0.00","9.09","85.25","0.943","0","11","76","98","0.00","2","15","106","1.85"
"593","Adrian Kempe","L.A","C","81","44.233333333333","15","72","17.24","13","58","18.31","12","32","27.27","0","2","0.00","0.91","4.92","15.53","9","32","21.95","5","9","35.71","0","0","-","4","23","14.81","0","1","0.00","5","38","11.63","0","1","0.00","0.00","93.75","0.938","0","4","10","69","0.00","2","7","14","12.50"
"165","Alec Martinez","L.A","D","60","113.76666666667","27","189","12.50","25","138","15.34","17","91","15.74","0","12","0.00","1.22","10.94","10.05","9","84","9.68","6","27","18.18","0","4","0.00","3","57","5.00","0","6","0.00","9","97","8.49","0","2","0.00","0.00","86.81","0.868","2","7","56","92","3.45","3","13","74","3.90"
"536","Aleksander Barkov","FLA","C","82","170.26666666667","54","266","16.88","49","207","19.14","41","142","22.40","1","23","4.17","3.14","19.71","13.75","32","136","19.05","13","59","18.06","0","8","0.00","19","77","19.79","1","9","10.00","12","126","8.70","0","6","0.00","2.44","83.80","0.862","4","27","151","96","2.58","8","39","195","3.94"
"102","Alex Biega","VAN","D","41","28.216666666667","10","35","22.22","9","28","24.32","7","22","24.14","0","1","0.00","0.37","2.7","11.97","4","20","16.67","2","9","18.18","0","0","-","2","11","15.38","0","1","0.00","1","15","6.25","0","0","-","0.00","95.45","0.955","0","1","7","32","0.00","0","2","11","0.00"
"223","Alex Chiasson","EDM","R","73","44.816666666667","11","66","14.29","10","45","18.18","8","38","17.39","3","6","33.33","1.02","4.82","17.48","8","30","21.05","5","13","27.78","3","1","75.00","3","17","15.00","0","3","0.00","0","33","0.00","0","2","0.00","37.50","84.21","1.217","1","14","32","44","3.03","4","16","39","9.30"
"715","Alex DeBrincat","CHI","L, R","82","10.1","5","16","23.81","4","12","25.00","4","9","30.77","0","0","-","0.4","1.34","22.90","3","7","30.00","2","2","50.00","0","0","-","1","5","16.67","0","0","-","2","6","25.00","0","0","-","0.00","100.00","1.000","1","1","1","20","50.00","2","2","2","50.00"
