"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"480","Brandon Bollig","CGY","L","54","1.9333333333333","0","2","0.00","0","2","0.00","0","1","0.00","0","0","-","0","0.16","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","1","2","0.00","0","1","2","0.00"
"544","Brandon Davidson","EDM","D","51","134.58333333333","17","270","5.92","16","193","7.66","16","132","10.81","2","10","16.67","0.94","18.7","4.81","8","132","5.71","4","54","6.90","2","4","33.33","4","78","4.88","0","4","0.00","4","119","3.25","0","2","0.00","12.50","92.42","1.049","1","21","104","43","0.95","6","27","165","3.51"
"174","Brandon Dubinsky","CBJ","C","75","146.33333333333","25","235","9.62","21","175","10.71","10","120","7.69","0","20","0.00","1.88","16.47","10.26","12","123","8.89","5","49","9.26","0","9","0.00","7","74","8.64","0","4","0.00","9","106","7.83","0","7","0.00","0.00","83.33","0.833","1","25","123","74","0.81","5","36","150","3.23"
"503","Brandon Gormley","COL","D","26","3.4333333333333","0","8","0.00","0","6","0.00","0","5","0.00","0","0","-","0","0.74","0.00","0","5","0.00","0","1","0.00","0","0","-","0","4","0.00","0","0","-","0","3","0.00","0","0","-","-","100.00","1.00","1","0","1","9","50.00","1","0","2","33.33"
"475","Brandon Manning","PHI","D","56","64.316666666667","11","102","9.73","11","73","13.10","9","58","13.43","1","9","10.00","1.11","7.23","13.27","7","47","12.96","5","24","17.24","1","4","20.00","2","23","8.00","0","1","0.00","4","49","7.55","0","4","0.00","11.11","84.48","0.956","5","8","25","69","16.67","7","9","31","18.42"
"446","Brandon Pirri","ANA, FLA","R","61","1.85","0","2","0.00","0","2","0.00","0","2","0.00","0","1","0.00","0","0.11","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","2","0.00","0","1","0.00","-","50.00","0.50","0","1","0","5","-","0","1","0","-"
"177","Brandon Prust","VAN","L","35","22.433333333333","4","25","13.79","4","22","15.38","3","16","15.79","0","4","0.00","0.33","1.88","14.85","3","14","17.65","2","5","28.57","0","2","0.00","1","9","10.00","0","1","0.00","1","10","9.09","0","1","0.00","0.00","75.00","0.750","1","2","7","29","12.50","3","3","8","27.27"
"601","Brandon Saad","CBJ","L","78","48.216666666667","22","53","29.33","17","45","27.42","12","31","27.91","1","2","33.33","1.19","4.72","20.09","15","23","39.47","4","9","30.77","1","1","50.00","11","14","44.00","0","1","0.00","3","26","10.34","0","0","-","8.33","93.55","1.019","0","14","16","76","0.00","2","17","17","10.53"
"319","Brandon Sutter","VAN","C","20","42.616666666667","15","46","24.59","13","38","25.49","9","27","25.00","1","2","33.33","1.01","3.1","24.57","11","23","32.35","4","9","30.77","0","1","0.00","7","14","33.33","1","0","100.00","3","21","12.50","0","1","0.00","11.11","92.59","1.037","0","7","26","21","0.00","1","9","38","2.56"
"795","Brandon Tanev","WPG","L","3","3.1166666666667","0","8","0.00","0","8","0.00","0","6","0.00","0","2","0.00","0","0.47","0.00","0","3","0.00","0","1","0.00","0","0","-","0","2","0.00","0","0","-","0","5","0.00","0","2","0.00","-","66.67","0.67","0","0","3","1","0.00","0","0","6","0.00"
