,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Spencer Abbott,FA,LW,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Justin Abdelkader,DET,LW,64,7,14,21,-20,50,104,1,5,2,0,1,144,27
Pontus Aberg,TOR,LW,15,1,1,2,-2,4,12,0,0,0,0,0,9,2
Noel Acciari,FLA,C,29,2,3,5,3,16,24,0,0,0,0,0,80,5
Kenny Agostino,TOR,LW,7,1,2,3,0,2,17,0,0,1,0,0,9,3
Sebastian Aho,CAR,LW,82,24,25,49,-1,26,214,4,6,11,1,1,51,14
Karl Alzner,MON,D,82,3,10,13,23,28,81,0,0,0,0,0,105,162
Josh Anderson,CLS,RW,78,17,12,29,12,89,119,3,0,0,0,0,147,40
Rasmus Andersson,CGY,D,1,0,0,0,-1,0,0,0,0,0,0,0,4,2
Andy Andreoff,PHI,C,36,0,2,2,-2,70,38,0,0,0,0,0,70,7
Sven Andrighetto,FA,RW,46,7,17,24,1,12,68,0,2,2,0,0,40,22
Artem Anisimov,OTT,C,64,22,23,45,9,30,105,7,4,4,0,0,18,27
Josh Archibald,EDM,RW,10,3,0,3,3,4,11,0,0,0,1,0,28,2
Joel Armia,MON,RW,57,10,9,19,-8,20,111,1,0,2,4,0,68,30
Viktor Arvidsson,NSH,LW,80,31,30,61,16,28,246,6,4,5,5,2,23,45
Andreas Athanasiou,DET,C,64,18,11,29,-7,28,120,3,1,3,0,0,30,21
Cam Atkinson,CLS,RW,82,35,27,62,13,22,240,9,10,11,3,0,33,34
Brady Austin,FA,D,5,0,0,0,0,4,8,0,0,0,0,0,6,0
Yohann Auvitu,FA,D,25,2,2,4,1,2,54,0,0,1,0,0,20,9
David Backes,BOS,RW,74,17,21,38,2,69,175,2,2,5,0,0,226,47
Mikael Backlund,CGY,C,81,22,31,53,9,36,197,7,7,9,0,3,55,41
Nicklas Backstrom,WAS,C,82,23,63,86,17,38,162,5,8,27,0,0,45,33
Sven Baertschi,VAN,LW,68,18,17,35,-6,8,114,5,2,4,0,0,52,29
Casey Bailey,WAS,RW,7,0,0,0,-1,0,10,0,0,0,0,0,4,4
Josh Bailey,NYI,LW,82,13,43,56,5,12,173,1,3,9,0,0,37,53
Justin Bailey,VAN,RW,32,2,2,4,0,4,36,1,0,0,0,0,27,14
Nicholas Baptiste,FA,RW,14,3,1,4,1,6,16,0,0,0,0,0,12,1
Ivan Barbashev,STL,LW,30,5,7,12,5,2,20,1,0,0,0,0,34,14
Riley Barber,MON,RW,3,0,0,0,0,0,2,0,0,0,0,0,1,0
