,,,,Overall,,,,,,,PP,,SH,,Defense,
Mark Barberio,COL,D,60,2,11,13,-5,14,80,0,1,3,0,0,20,55
Aleksander Barkov,FLA,C,61,21,31,52,13,10,142,5,3,11,0,0,39,30
Tyson Barrie,TOR,D,74,7,31,38,-34,18,182,2,1,9,0,0,32,75
Matt Bartkowski,MIN,D,24,1,1,2,-4,26,16,0,0,0,0,0,46,12
Mathew Barzal,NYI,C,2,0,0,0,-2,6,0,0,0,0,0,0,1,0
Cody Bass,FA,C,9,0,0,0,-1,19,1,0,0,0,0,0,14,4
Jay Beagle,VAN,C,81,13,17,30,20,22,100,4,0,0,1,2,55,44
Francois Beauchemin,FA,D,81,5,13,18,-14,32,132,1,0,3,0,0,73,156
Nathan Beaulieu,WPG,D,74,4,24,28,8,44,118,1,2,10,0,0,65,102
Anthony Beauvillier,NYI,LW,66,9,15,24,1,10,101,2,0,1,0,0,81,26
Taylor Beck,FA,LW,5,0,0,0,-3,4,5,0,0,0,0,0,5,0
Matt Beleskey,NYR,LW,49,3,5,8,-10,47,79,0,0,2,0,0,98,18
Pierre-Edouard Bellemare,COL,C,82,4,4,8,-1,20,90,0,0,0,0,1,73,70
Jamie Benn,DAL,C,77,26,43,69,-9,66,201,4,12,14,1,0,89,47
Jordie Benn,VAN,D,71,4,13,17,-4,28,68,1,0,2,0,1,64,144
Beau Bennett,ARI,RW,65,8,11,19,-3,20,101,1,1,1,0,0,77,13
Sam Bennett,CGY,LW,81,13,13,26,-16,75,122,0,4,0,0,1,127,46
Matt Benning,EDM,D,62,3,12,15,8,29,69,0,1,2,0,0,111,64
Patrice Bergeron,BOS,C,79,21,32,53,12,24,302,7,8,9,0,3,54,47
Patrik Berglund,FA,C,82,23,11,34,-7,32,153,5,4,4,0,0,155,42
Christoph Bertschy,FA,C,5,0,1,1,0,4,5,0,0,0,0,0,7,3
Tyler Bertuzzi,DET,LW,7,0,0,0,-1,0,3,0,0,0,0,0,12,0
Bryan Bickell,FA,LW,11,1,0,1,-4,4,8,1,1,0,0,0,16,3
Alex Biega,VAN,D,36,0,3,3,-4,18,37,0,0,0,0,0,97,24
Kevin Bieksa,FA,D,81,3,11,14,0,63,94,1,1,2,0,0,173,100
Anthony Bitetto,WPG,D,29,0,7,7,-1,25,17,0,0,0,0,0,43,24
Oliver Bjorkstrand,CLS,RW,26,6,7,13,4,6,55,2,0,0,0,0,14,9
Nick Bjugstad,PIT,C,54,7,7,14,-19,22,91,1,1,2,0,0,72,9
Joseph Blandisi,PIT,C,27,3,6,9,-10,26,24,2,1,4,0,0,37,6
Anton Blidh,BOS,LW,19,1,1,2,-2,7,26,0,0,0,0,0,41,4
Michael Blunden,FA,RW,2,0,0,0,0,4,1,0,0,0,0,0,6,0
Mikkel Boedker,OTT,LW,81,10,16,26,0,10,122,2,0,1,1,0,71,35
Brock Boeser,VAN,RW,9,4,1,5,0,0,25,1,2,0,0,0,5,0
Zach Bogosian,BUF,D,56,2,9,11,-17,46,73,1,0,1,0,0,59,97
Jared Boll,FA,RW,51,0,3,3,-3,87,13,0,0,0,0,0,68,14
Nick Bonino,NSH,C,80,18,19,37,-5,16,142,1,6,5,1,0,60,99
Mark Borowiecki,OTT,D,70,1,2,3,-3,154,50,0,0,0,0,0,364,90
Robert Bortuzzo,STL,D,38,1,3,4,11,15,45,0,0,0,0,0,77,50
Reid Boucher,VAN,RW,39,6,4,10,-6,8,70,0,1,0,0,0,20,14
Lance Bouma,LA,C,61,3,4,7,-2,35,53,1,0,0,0,0,127,44
Michael Bournival,FA,C,19,2,1,3,-3,2,25,0,0,0,0,0,31,8
Gabriel Bourque,WPG,LW,6,0,0,0,0,0,4,0,0,0,0,0,17,6
Rene Bourque,FA,LW,65,12,6,18,-19,56,111,2,2,0,0,0,75,26
Jay Bouwmeester,STL,D,81,1,14,15,6,28,106,0,0,1,0,0,67,111
Johnny Boychuk,NYI,D,66,6,17,23,11,19,155,2,1,3,1,1,160,133
Brian Boyle,FA,C,75,13,12,25,3,66,131,2,3,3,0,0,115,41
Tyler Bozak,STL,C,78,18,37,55,-1,30,145,1,7,11,0,0,45,26
Derick Brassard,NYI,C,81,14,25,39,12,24,195,3,3,4,0,0,92,24
Justin Braun,PHI,D,81,4,9,13,1,28,95,0,0,0,0,2,136,161
T.J. Brodie,CGY,D,82,6,30,36,-16,24,78,2,1,11,1,1,30,115
Jonas Brodin,MIN,D,68,3,22,25,5,20,85,2,2,5,0,0,20,89
Kyle Brodziak,FA,C,69,8,7,15,2,27,55,2,0,0,0,0,56,39
Jonny Brodzinski,SJ,RW,6,0,2,2,2,2,17,0,0,0,0,0,10,4
Troy Brouwer,FLA,RW,74,13,12,25,-11,31,86,2,5,6,1,1,171,39
Connor Brown,OTT,RW,82,20,16,36,3,10,139,4,2,4,1,0,50,46
Dustin Brown,LA,RW,80,14,22,36,-4,22,175,1,4,2,1,0,190,31
J.T. Brown,MIN,RW,64,3,3,6,-7,73,67,1,0,0,1,0,103,25
Patrick Brown,VGK,C,14,0,0,0,-6,0,12,0,0,0,0,0,30,5
Pavel Buchnevich,NYR,LW,41,8,12,20,6,13,55,0,1,2,0,0,17,8
Andre Burakovsky,COL,LW,64,12,23,35,13,14,111,1,2,3,0,0,31,25
Erik Burgdoerfer,WAS,D,2,0,0,0,-1,0,2,0,0,0,0,0,5,0
Alex Burmistrov,FA,C,49,5,11,16,-7,12,45,0,4,1,0,1,60,19
Brent Burns,SJ,D,82,29,47,76,19,40,320,6,8,17,0,1,69,142
Alex Burrows,FA,RW,75,15,16,31,3,62,143,2,1,0,0,1,68,34
Chris Butler,FA,D,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Dustin Byfuglien,WPG,D,80,13,39,52,10,117,241,1,1,13,0,2,183,124
Paul Byron,MON,C,81,22,21,43,21,29,96,6,0,4,1,0,119,34
Drake Caggiula,CHI,LW,60,7,11,18,3,16,93,2,2,3,0,1,97,19
Mitch Callahan,FA,RW,4,0,0,0,0,0,2,0,0,0,0,0,3,2
Ryan Callahan,OTT,RW,18,2,2,4,-4,23,22,1,0,0,0,0,48,13
Matt Calvert,COL,LW,65,10,5,15,-4,48,92,1,0,0,3,1,61,34
Michael Cammalleri,FA,LW,61,10,21,31,-9,21,142,3,1,9,0,0,44,14
Brian Campbell,FA,D,80,5,12,17,12,24,74,1,2,3,0,0,43,83
Pat Cannone,FA,C,3,0,0,0,0,0,2,0,0,0,0,0,2,1
Paul Carey,BOS,RW,6,0,0,0,-2,0,8,0,0,0,0,0,5,1
Matt Carle,FA,D,6,0,1,1,-1,0,2,0,0,0,0,0,3,5
Brandon Carlo,BOS,D,82,6,10,16,9,59,88,0,0,0,1,0,87,115
John Carlson,WAS,D,72,9,28,37,7,10,180,3,3,13,0,1,58,127
Gabriel Carlsson,CLS,D,2,0,1,1,-2,0,3,0,0,0,0,0,5,2
Ryan Carpenter,CHI,C,11,2,2,4,5,4,20,0,0,0,0,0,15,2
Daniel Carr,NSH,LW,33,2,7,9,4,6,44,1,0,0,0,0,19,12
Connor Carrick,NJ,D,67,2,6,8,8,51,89,0,1,0,0,0,66,79
Alexandre Carrier,NSH,D,2,0,0,0,1,0,1,0,0,0,0,0,0,1
William Carrier,VGK,LW,41,5,3,8,-1,21,50,1,0,0,0,0,112,10
Jeff Carter,LA,C,82,32,34,66,2,41,250,9,10,12,1,0,86,37
Cody Ceci,TOR,D,79,2,15,17,-11,20,143,0,0,1,0,2,111,159
Peter Cehlarik,BOS,C,11,0,2,2,0,0,8,0,0,1,0,0,7,4
Thomas Chabot,OTT,D,1,0,0,0,-2,0,1,0,0,0,0,0,1,0
Michael Chaput,ARI,C,68,4,5,9,-12,29,64,0,0,0,0,0,68,29
Zdeno Chara,BOS,D,75,10,19,29,18,59,136,0,1,2,2,0,130,140
Ben Chiarot,MON,D,59,2,10,12,2,33,49,0,0,0,0,0,78,94
Alex Chiasson,EDM,RW,81,12,12,24,-6,46,104,1,0,2,1,0,74,18
Jason Chimera,FA,LW,82,20,13,33,1,40,121,2,0,0,1,0,149,30
Taylor Chorney,FA,D,18,1,4,5,8,11,19,1,0,0,0,0,27,29
Jakob Chychrun,ARI,D,68,7,13,20,-14,47,86,0,1,1,0,0,109,99
Casey Cizikas,NYI,C,59,8,17,25,9,30,82,1,0,1,0,0,144,58
Fredrik Claesson,CAR,D,33,3,8,11,5,4,25,0,0,0,0,1,55,24
Adam Clendening,CLS,D,31,2,9,11,3,17,38,0,1,1,0,0,22,27
Kyle Clifford,LA,LW,73,6,6,12,-2,92,122,0,0,0,0,0,146,7
Cal Clutterbuck,NYI,RW,66,5,15,20,2,28,115,1,0,1,0,0,222,25
Braydon Coburn,TB,D,80,5,7,12,-1,50,102,0,0,0,1,0,109,76
Andrew Cogliano,DAL,LW,82,16,19,35,11,26,178,2,0,0,3,1,76,27
Joe Colborne,FA,C,62,4,4,8,-21,34,48,0,2,1,0,0,86,14
Ian Cole,COL,D,81,5,21,26,26,72,89,1,0,1,0,0,164,194
Blake Coleman,NJ,C,23,1,1,2,-7,27,29,0,0,0,0,0,51,15
Blake Comeau,DAL,LW,77,8,12,20,-19,58,103,1,2,0,1,0,129,22
J.T. Compher,COL,C,21,3,2,5,0,4,30,1,1,0,0,0,11,21
Cory Conacher,TB,LW,11,1,3,4,0,4,16,0,1,0,0,0,1,0
Erik Condra,COL,RW,13,0,0,0,-4,4,8,0,0,0,0,0,5,7
Kevin Connauton,COL,D,24,0,1,1,-1,24,21,0,0,0,0,0,48,22
Brett Connolly,FLA,RW,66,15,8,23,20,40,81,3,1,0,0,0,89,12
Kyle Connor,WPG,LW,20,2,3,5,-7,4,24,1,0,2,0,0,1,8
Andrew Copp,WPG,C,64,9,8,17,8,18,77,1,0,0,1,0,87,28
Frank Corrado,TOR,D,4,0,0,0,-1,8,3,0,0,0,0,0,4,2
Nick Cousins,MON,C,60,6,10,16,-6,31,99,0,1,1,0,0,61,24
Logan Couture,SJ,C,73,25,27,52,11,12,174,3,11,4,0,1,57,65
Sean Couturier,PHI,C,66,14,20,34,12,33,120,2,0,2,0,1,41,35
Charlie Coyle,BOS,RW,82,18,38,56,13,36,159,5,4,5,0,0,101,63
Adam Cracknell,FA,C,69,10,6,16,9,12,87,2,0,0,1,0,91,37
Joseph Cramarossa,PIT,C,59,4,6,10,0,60,36,1,0,0,0,2,133,23
Sidney Crosby,PIT,C,75,44,45,89,17,24,255,5,14,11,0,0,80,27
Lawson Crouse,ARI,LW,72,5,7,12,-20,48,84,2,0,0,1,0,160,29
Matt Cullen,FA,C,72,13,18,31,4,30,93,2,2,2,2,0,36,27
Austin Czarnik,CGY,C,49,5,8,13,-10,12,66,1,0,3,0,0,19,25
Klas Dahlbeck,FA,D,43,2,4,6,-12,30,37,0,0,0,0,0,77,38
Trevor Daley,DET,D,56,5,14,19,7,37,84,0,1,3,0,1,29,83
Zac Dalpe,CLS,C,9,1,2,3,0,9,8,0,0,0,0,0,5,5
Phillip Danault,MON,C,82,13,27,40,5,35,133,3,0,2,0,1,76,52
Marko Dano,CLS,C,38,4,7,11,0,10,44,0,2,0,0,0,83,14
Laurent Dauphin,NSH,C,24,2,1,3,-2,12,32,1,0,0,1,0,32,11
Brandon Davidson,CGY,D,38,0,3,3,-2,20,42,0,0,0,0,0,42,61
Jean-Sebastien Dea,BUF,C,1,0,0,0,0,2,1,0,0,0,0,0,3,0
Anthony DeAngelo,NYR,D,39,5,9,14,-13,37,60,1,2,6,0,0,31,48
Danny DeKeyser,DET,D,82,4,8,12,-22,33,85,2,0,0,0,0,100,170
Dylan DeMelo,OTT,D,25,1,7,8,2,14,32,0,0,0,0,0,36,32
Jason Demers,ARI,D,81,9,19,28,-14,53,98,2,0,5,0,2,106,90
David Desharnais,FA,C,49,6,8,14,4,12,46,1,0,2,0,0,5,15
Andrew Desjardins,FA,C,46,0,1,1,-6,22,46,0,0,0,0,0,73,17
Nicolas Deslauriers,ANH,LW,42,0,2,2,-6,38,26,0,0,0,0,0,109,5
Simon Despres,FA,D,1,0,0,0,0,0,1,0,0,0,0,0,1,1
Jason Dickinson,DAL,C,10,2,0,2,-3,0,9,0,0,0,0,0,8,4
Chris DiDomenico,FA,C,3,0,0,0,0,6,5,0,0,0,0,0,2,2
Brenden Dillon,SJ,D,81,2,8,10,-2,60,86,0,0,0,0,0,174,81
Shane Doan,FA,RW,74,6,21,27,-3,48,144,0,3,2,0,0,101,22
Max Domi,MON,C,59,9,29,38,-9,40,108,1,1,7,0,0,28,21
Joonas Donskoi,COL,RW,61,6,11,17,-5,10,95,0,1,3,0,0,27,27
Derek Dorsett,FA,RW,14,1,3,4,-6,33,24,0,0,0,0,0,35,6
Jake Dotchin,STL,D,35,0,11,11,10,35,50,0,0,0,0,0,85,19
Drew Doughty,LA,D,82,12,32,44,8,46,181,1,5,14,0,1,129,109
Nic Dowd,WAS,C,70,6,16,22,-15,25,78,2,1,7,0,0,145,35
Justin Dowling,DAL,C,9,0,2,2,0,2,11,0,0,1,0,0,1,0
Leon Draisaitl,EDM,C,82,29,48,77,7,20,172,5,10,17,0,0,41,36
Jonathan Drouin,MON,C,73,21,32,53,-13,16,183,6,9,17,0,0,50,16
Brandon Dubinsky,CLS,C,80,12,29,41,16,91,115,5,1,3,1,0,248,60
Matt Duchene,NSH,C,77,18,23,41,-34,12,160,3,3,6,1,0,42,41
Anthony Duclair,OTT,LW,58,5,10,15,-7,14,76,1,0,2,0,0,22,17
Mathew Dumba,MIN,D,76,11,23,34,15,59,131,1,6,6,0,1,96,71
Gabriel Dumont,MIN,C,39,2,2,4,1,29,34,0,0,0,0,0,83,19
Brian Dumoulin,PIT,D,70,1,14,15,0,14,78,0,0,4,0,0,113,99
Christian Dvorak,ARI,LW,78,15,18,33,7,22,88,1,2,3,0,0,72,56
Ryan Dzingel,CAR,C,81,14,18,32,7,30,123,1,1,2,1,0,71,21
Cody Eakin,VGK,C,60,3,9,12,-7,49,82,1,0,2,0,0,65,39
Patrick Eaves,ANH,RW,79,32,19,51,-2,24,209,2,13,5,0,0,89,43
Jordan Eberle,NYI,RW,82,20,31,51,3,16,208,0,4,10,0,0,26,37
Alexander Edler,VAN,D,68,6,15,21,-20,36,138,0,2,2,0,0,106,138
Joel Edmundson,STL,D,69,3,12,15,11,60,81,1,0,0,0,0,122,95
Nikolaj Ehlers,WPG,LW,82,25,39,64,1,38,204,4,5,7,0,0,43,28
Jack Eichel,BUF,C,61,24,33,57,-13,22,249,4,10,14,0,0,26,35
Joel Eriksson Ek,MIN,C,15,3,4,7,1,4,15,1,0,0,0,0,23,8
Aaron Ekblad,FLA,D,68,10,11,21,-23,58,225,2,4,4,1,0,88,62
Mattias Ekholm,NSH,D,82,3,20,23,4,34,120,1,0,3,0,1,61,108
Oliver Ekman-Larsson,ARI,D,79,12,27,39,-25,48,145,1,8,11,0,0,112,85
Remi Elie,BUF,LW,18,1,6,7,5,8,15,0,0,0,0,0,30,11
Lars Eller,WAS,C,81,12,13,25,15,36,115,2,0,1,1,0,71,30
Ryan Ellis,NSH,D,71,16,22,38,17,29,140,3,4,7,1,2,64,137
Alexei Emelin,FA,D,76,2,8,10,1,71,82,0,0,0,0,0,241,127
Deryk Engelland,VGK,D,81,4,12,16,2,85,107,2,0,0,0,0,135,134
Andreas Englund,OTT,D,5,0,0,0,-3,2,3,0,0,0,0,0,18,0
Tyler Ennis,OTT,LW,51,5,8,13,-10,12,89,1,0,3,0,0,45,23
Toby Enstrom,FA,D,60,1,13,14,-7,42,46,0,0,6,1,0,24,94
Jonathan Ericsson,DET,D,51,1,8,9,-2,63,43,0,0,0,0,0,86,36
Loui Eriksson,VAN,RW,65,11,13,24,-9,8,132,1,5,2,0,1,11,26
Adam Erne,DET,LW,26,3,0,3,-9,11,40,0,0,0,0,0,71,13
Emerson Etem,LA,RW,3,0,0,0,1,2,0,0,0,0,0,0,4,0
Robby Fabbri,STL,LW,51,11,18,29,-16,27,91,0,4,5,0,0,64,14
Radek Faksa,DAL,C,80,12,21,33,-6,67,132,0,0,2,0,0,101,62
Justin Falk,FA,D,52,0,8,8,-3,29,33,0,0,0,0,0,101,40
Bobby Farnham,FA,LW,3,0,0,0,0,17,4,0,0,0,0,0,8,2
Hudson Fasching,ARI,RW,10,0,1,1,-1,2,6,0,0,0,0,0,17,2
Jesper Fast,NYR,RW,68,6,15,21,6,16,56,1,0,0,0,0,99,44
Justin Faulk,CAR,D,75,17,20,37,-18,32,225,2,4,9,0,0,117,84
Mark Fayne,FA,D,4,0,2,2,1,0,4,0,0,0,0,0,1,2
Taylor Fedun,DAL,D,27,0,7,7,3,16,24,0,0,3,0,0,7,20
Eric Fehr,FA,RW,53,6,5,11,2,14,62,3,0,0,0,0,82,35
Micheal Ferland,VAN,LW,76,15,10,25,-1,50,106,1,2,2,0,0,149,26
Kevin Fiala,MIN,LW,54,11,5,16,1,18,114,1,0,0,0,0,44,14
Vernon Fiddler,FA,C,59,2,2,4,-15,66,48,0,0,0,1,0,57,33
Valtteri Filppula,DET,C,79,12,30,42,-1,26,97,1,0,7,0,0,26,39
Christian Fischer,ARI,RW,7,3,0,3,0,0,10,1,0,0,0,0,9,0
Mike Fisher,FA,C,72,18,24,42,1,55,120,3,7,10,0,0,160,64
Brian Flynn,FA,C,51,6,4,10,2,4,47,0,0,0,0,0,20,29
Marcus Foligno,MIN,LW,80,13,10,23,-1,73,97,0,0,0,1,0,279,57
Nick Foligno,CLS,LW,79,26,25,51,-4,55,185,5,11,10,0,0,157,50
Christian Folin,MON,D,51,2,6,8,10,26,39,0,0,0,0,0,69,59
Derek Forbort,LA,D,82,2,16,18,8,54,100,0,0,0,0,1,180,159
Jakob Forsbacka-Karlsson,BOS,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Filip Forsberg,NSH,RW,82,31,27,58,-4,32,234,9,3,6,3,0,97,26
Gustav Forsling,CAR,D,38,2,3,5,3,4,48,0,0,1,0,0,16,17
Cam Fowler,ANH,D,80,11,28,39,7,20,186,3,5,10,1,1,29,134
Cody Franson,FA,D,68,3,16,19,-5,34,93,0,1,1,0,0,87,68
Martin Frk,LA,RW,2,0,0,0,-3,0,1,0,0,0,0,0,3,1
Byron Froese,CGY,C,6,0,0,0,-3,5,6,0,0,0,0,0,3,4
Michael Frolik,CGY,LW,82,17,27,44,13,58,202,1,3,5,2,1,60,48
Marian Gaborik,OTT,RW,56,10,11,21,-4,18,123,3,3,2,0,0,21,15
Kurtis Gabriel,PHI,RW,13,0,1,1,0,29,3,0,0,0,0,0,26,1
Sam Gagner,EDM,C,81,18,32,50,10,22,178,1,8,10,0,0,22,16
Alex Galchenyuk,PIT,RW,61,17,27,44,-5,24,104,6,6,9,0,0,36,32
Brendan Gallagher,MON,RW,64,10,19,29,7,39,187,2,1,2,0,0,69,15
Ryan Garbutt,FA,RW,27,2,1,3,-3,20,26,1,0,0,0,1,53,12
Jake Gardiner,CAR,D,82,9,34,43,24,34,127,2,2,11,0,0,69,83
Jason Garrison,FA,D,70,1,8,9,-8,14,96,0,0,0,0,0,93,91
Tyler Gaudet,TOR,C,4,0,1,1,0,0,3,0,0,0,0,0,3,1
Frederick Gaudreau,NSH,C,9,0,1,1,1,0,8,0,0,0,0,0,1,5
Johnny Gaudreau,CGY,LW,72,18,43,61,-7,4,182,3,4,12,0,0,9,14
Brendan Gaunce,BOS,C,57,0,5,5,-2,33,51,0,0,0,0,0,94,12
Cameron Gaunce,TB,D,12,1,3,4,1,13,8,0,0,0,0,0,23,10
Frederik Gauthier,TOR,C,21,2,1,3,2,23,15,0,0,0,0,0,17,17
Luke Gazdic,FA,LW,11,0,0,0,-2,12,3,0,0,0,0,0,16,6
Eric Gelinas,FA,D,27,0,1,1,-4,12,29,0,0,0,0,0,32,16
Ryan Getzlaf,ANH,C,74,15,58,73,7,49,138,3,6,14,2,1,99,88
Tom Gilbert,FA,D,18,1,4,5,-4,6,12,0,0,1,0,0,10,28
Brian Gionta,FA,RW,82,15,20,35,-11,22,149,3,3,4,1,1,54,30
Stephen Gionta,FA,C,26,1,5,6,9,2,17,0,0,0,0,0,56,7
Mark Giordano,CGY,D,81,12,27,39,22,59,151,4,3,11,2,1,78,184
Dan Girardi,FA,D,63,4,11,15,8,16,56,3,0,0,1,1,107,166
Zemgus Girgensons,BUF,C,75,7,9,16,-7,18,112,0,0,0,0,0,120,26
Claude Giroux,PHI,C,82,14,44,58,-15,38,199,3,5,26,0,1,68,28
Phil Di Giuseppe,NYR,LW,36,1,6,7,-12,15,68,1,0,1,0,0,91,10
Tanner Glass,FA,LW,11,1,1,2,0,17,8,0,0,0,0,0,37,4
Luke Glendening,DET,RW,74,3,11,14,-10,26,76,0,0,1,0,0,150,62
Nikolay Goldobin,VAN,RW,14,3,0,3,0,0,14,1,0,0,0,0,1,4
Alex Goligoski,ARI,D,82,6,30,36,-9,28,112,0,1,7,1,1,137,143
Cody Goloubef,OTT,D,33,0,5,5,-11,25,35,0,0,0,0,0,30,33
Barclay Goodrow,SJ,LW,3,0,1,1,0,0,3,0,0,0,0,0,3,1
Boyd Gordon,FA,C,13,1,0,1,-5,2,8,0,0,0,0,0,4,7
Josh Gorges,FA,D,66,1,5,6,-3,50,40,0,0,0,0,0,143,108
Shayne Gostisbehere,PHI,D,76,7,32,39,-21,32,198,1,2,21,0,0,43,94
Yanni Gourde,TB,LW,20,6,2,8,-1,8,30,1,0,0,1,0,11,3
Michael Grabner,ARI,RW,76,27,13,40,22,10,162,3,0,0,1,2,41,34
Petter Granberg,FA,D,10,0,0,0,0,10,4,0,0,0,0,0,17,9
Markus Granlund,EDM,C,69,19,13,32,-19,14,122,3,3,4,0,0,32,11
Mikael Granlund,NSH,C,81,26,43,69,23,12,177,4,7,13,3,1,50,50
Derek Grant,ANH,C,46,0,4,4,-5,24,40,0,0,0,0,0,27,29
Tyler Graovac,VAN,C,52,7,2,9,7,10,48,2,0,0,0,0,52,15
Kevin Gravel,TOR,D,49,1,6,7,3,6,52,0,1,1,0,0,73,65
Mike Green,DET,D,72,14,22,36,-20,40,125,2,3,7,0,0,67,92
Andy Greene,NJ,D,66,4,9,13,-16,8,83,1,1,3,1,0,50,125
Matt Greene,FA,D,26,1,1,2,3,19,14,0,0,0,0,0,71,27
A.J. Greer,COL,LW,5,0,1,1,-2,4,8,0,0,0,0,0,4,3
Alexandre Grenier,CGY,RW,3,0,0,0,-1,0,1,0,0,0,0,0,3,0
Seth Griffith,WPG,RW,24,0,5,5,6,8,21,0,0,1,0,0,30,5
Mikhail Grigorenko,FA,C,75,10,13,23,-14,18,85,0,0,4,0,0,27,26
Rocco Grimaldi,NSH,C,4,0,1,1,-3,2,11,0,0,0,0,0,1,4
Nicklas Grossmann,FA,D,3,0,0,0,-4,2,3,0,0,0,0,0,7,1
Eric Gryba,CGY,D,40,2,4,6,-5,65,45,2,0,0,0,0,145,47
Matt Grzelcyk,BOS,D,2,0,0,0,0,2,4,0,0,0,0,0,0,1
Radko Gudas,WAS,D,67,6,17,23,8,93,113,0,0,1,0,0,280,124
Erik Gudbranson,PIT,D,30,1,5,6,-14,18,40,1,0,0,0,0,66,44
Jake Guentzel,PIT,LW,40,16,17,33,7,10,81,0,1,2,0,0,61,18
Brendan Guhle,ANH,D,3,0,0,0,1,0,4,0,0,0,0,0,3,8
Carl Gunnarsson,STL,D,56,0,6,6,-5,4,32,0,0,0,0,0,42,68
Denis Gurianov,DAL,RW,1,0,0,0,-1,0,0,0,0,0,0,0,1,3
Calvin de Haan,CHI,D,82,5,20,25,15,36,116,1,1,1,0,0,139,190
Carl Hagelin,WAS,LW,61,6,16,22,10,16,128,2,0,0,0,1,66,24
Robert Hagg,PHI,D,1,0,0,0,0,0,5,0,0,0,0,0,4,3
Ron Hainsey,OTT,D,72,4,13,17,-8,21,71,1,0,0,1,2,93,120
Micheal Haley,NYR,LW,58,2,10,12,6,128,37,1,0,0,0,0,129,23
Taylor Hall,NJ,LW,72,20,33,53,-9,32,238,4,7,8,0,0,59,31
Dan Hamhuis,NSH,D,79,1,15,16,-7,23,83,0,1,0,0,2,93,100
Dougie Hamilton,CAR,D,81,13,37,50,12,64,222,5,2,12,0,1,68,94
Freddie Hamilton,FA,C,26,2,0,2,-3,8,30,1,0,0,0,0,46,1
Travis Hamonic,CGY,D,49,3,11,14,-21,60,74,0,0,1,0,0,58,108
Noah Hanifin,CGY,D,81,4,25,29,-19,26,108,1,2,9,0,0,57,73
Joel Hanley,DAL,D,7,0,0,0,-3,4,5,0,0,0,0,0,8,4
Markus Hannikainen,CLS,RW,10,1,1,2,0,6,8,0,0,0,0,0,16,5
Jannik Hansen,FA,RW,43,8,12,20,2,34,73,1,0,0,0,0,43,15
Martin Hanzal,DAL,C,71,20,19,39,-17,53,169,2,5,4,0,0,145,58
Shane Harper,FA,RW,14,2,1,3,-1,18,13,0,0,0,0,0,19,0
Ben Harpur,TOR,D,6,0,0,0,-1,0,3,0,0,0,0,0,5,3
Scott Harrington,CLS,D,22,1,2,3,3,10,16,0,0,0,0,0,21,24
