Name,G,A,Pts,PIM,PPP,SOG,HIT,BLOCKS,+/-
Jason Zucker,25,25,50,38,15,219,87,43,6
Max Pacioretty,24,25,49,34,11,216,105,26,-4
James van Riemsdyk,28,21,49,26,16,205,43,21,-2
Dustin Brown,21,28,49,40,11,201,170,31,2
Seth Jones,12,37,49,28,14,192,91,127,4
Tomas Tatar,24,25,49,32,9,183,78,28,4
Zach Parise,23,25,48,24,11,193,43,62,-2
Kyle Palmieri,25,23,48,40,19,205,103,39,-2
Nick Schmaltz,14,34,48,14,13,115,15,24,-3
Jake DeBrusk,24,24,48,20,11,172,64,28,4
Derek Stepan,17,31,48,18,11,202,44,50,2
Kevin Labanc,14,34,48,34,19,143,48,20,-3
Cale Makar,11,37,48,34,19,136,86,98,8
Yanni Gourde,19,29,48,58,11,133,70,36,12
Kevin Fiala,19,29,48,30,12,181,38,23,-2
Drew Doughty,9,39,48,48,22,174,148,119,-9
Dustin Byfuglien,10,37,47,99,20,180,142,96,4
T.J. Oshie,22,25,47,34,14,139,122,53,8
Chris Kreider,24,23,47,54,11,181,138,38,4
Phillip Danault,13,34,47,38,3,131,87,56,6
Erik Gustafsson,10,37,47,24,16,160,88,108,0
Brandon Saad,22,25,47,12,4,209,39,27,1
Dylan Strome,19,27,46,26,11,135,20,47,2
Kaapo Kakko,25,21,46,18,8,160,50,30,2
Alex Tuch,18,28,46,18,8,182,99,42,4
Mikael Backlund,19,27,46,54,7,206,53,33,9
Ryan Suter,7,39,46,38,16,146,76,115,4
Brock Nelson,22,24,46,36,7,180,53,56,4
David Perron,16,29,45,49,14,125,78,18,2
Joe Thornton,12,33,45,42,17,84,29,19,3
Ilya Kovalchuk,19,26,45,20,16,185,28,22,-16
Andreas Athanasiou,25,20,45,32,7,193,32,27,-10
Ondrej Kase,22,23,45,18,9,190,53,31,4
Tyler Toffoli,21,24,45,22,8,221,53,18,-4
Jakub Vrana,22,23,45,22,5,171,44,28,6
Andrei Svechnikov,23,22,45,73,6,222,144,31,2
Matt Dumba,15,29,44,47,18,176,123,92,5
Alex Pietrangelo,13,31,44,24,15,183,52,150,4
Jakob Silfverberg,20,24,44,24,9,185,43,48,-1
Tyler Johnson,21,23,44,28,12,161,48,35,7
Shayne Gostisbehere,9,35,44,26,21,195,47,104,-6
Rasmus Ristolainen,6,38,44,44,20,176,210,124,-19
Jesperi Kotkaniemi,15,29,44,30,6,157,77,48,2
Zach Werenski,12,32,44,16,16,191,60,94,1
Adam Henrique,20,24,44,26,12,135,67,76,-3
Oliver Ekman-Larsson,14,30,44,48,18,175,149,67,-16
Dougie Hamilton,17,27,44,60,10,253,118,89,3
P.K. Subban,11,32,43,63,16,178,79,89,5
Patric Hornqvist,22,21,43,32,16,216,166,48,3
Pavel Buchnevich,18,25,43,16,14,135,60,30,-3
Thomas Chabot,10,33,43,30,16,185,77,116,-14
Drake Batherson,15,28,43,28,10,135,64,56,-10
Tyler Bozak,14,29,43,24,12,145,48,30,1
Josh Anderson,25,18,43,71,7,215,192,40,7
Jeff Carter,19,23,42,34,15,182,66,29,-10
Bryan Little,16,26,42,24,9,125,52,28,-4
Charlie Coyle,15,27,42,24,5,147,83,60,5
Will Butcher,6,36,42,16,15,112,34,77,-3
Maxime Comtois,18,23,41,38,7,145,150,21,5
Andreas Johnsson,20,21,41,32,6,146,63,40,6
Ryan McDonagh,7,34,41,30,7,127,87,161,16
Ryan Dzingel,20,21,41,28,5,144,55,27,-4
Oliver Bjorkstrand,18,23,41,8,6,175,58,41,3
Jeff Petry,12,29,41,28,13,174,180,133,-6
Mikko Koivu,12,28,40,30,14,122,28,46,8
Shea Weber,16,24,40,32,12,177,139,130,8
