"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"826","A.J. Greer","COL","L","5","64.133333333333","0","1","0","1","1","100.00","6","0.00","0.75","8","7","4","3","0","1","0","0","0","0","0","1","2","1","4","6","3","0","0","-"
"770","Aaron Ekblad","FLA","D","68","1213.2333333333","5","7","3","4","12","35.29","158","3.16","6.26","282","213","76","11","2","11","46","23","23","0","0","12","52","23","84","76","58","0","0","-"
"306","Aaron Ness","WSH","D","2","25.666666666667","0","0","0","0","0","-","0","-","0.02","1","1","0","0","0","0","0","0","0","0","0","0","1","0","2","2","2","0","0","-"
"543","Adam Clendening","NYR","D","31","443.08333333333","1","8","2","6","9","45.00","34","2.94","0.97","77","51","10","1","1","5","15","6","5","1","0","4","18","6","20","64","26","0","0","-"
"148","Adam Cracknell","DAL","R","69","679.03333333333","9","6","3","3","15","55.56","80","11.25","7.14","159","118","85","36","6","9","10","4","4","0","0","14","15","19","90","51","36","128","150","46.04"
"712","Adam Erne","T.B","L","26","280.9","3","0","0","0","3","75.00","36","8.33","2.87","60","53","38","16","0","4","11","4","3","1","0","5","5","2","70","22","13","0","1","0.00"
"316","Adam Henrique","N.J","C","82","1103.4","12","15","9","6","27","65.85","109","11.01","10.2","194","151","124","55","4","9","38","15","14","0","1","14","19","34","80","80","50","441","491","47.32"
"562","Adam Larsson","EDM","D","79","1451.5833333333","4","15","3","12","19","25.00","82","4.88","3.21","198","122","45","7","1","8","50","24","24","0","0","6","68","25","234","145","134","0","0","-"
"522","Adam Lowry","WPG","C, L","82","990.26666666667","10","9","5","4","19","54.29","94","10.64","11.01","158","126","98","50","3","17","38","12","9","2","1","12","18","21","199","105","38","487","463","51.26"
"172","Adam McQuaid","BOS","D","77","1218.4666666667","2","7","3","4","9","19.15","60","3.33","1.96","131","90","22","1","4","7","51","17","13","3","1","13","22","9","145","113","102","0","0","-"
"143","Adam Pardy","NSH","D","4","43.633333333333","0","0","0","0","0","0.00","4","0.00","0.13","6","5","1","0","0","1","6","3","3","0","0","0","0","1","3","6","3","0","0","-"
"642","Adam Pelech","NYI","D","44","695.41666666667","3","7","1","6","10","37.04","39","7.69","1.28","88","56","17","2","4","3","6","3","3","0","0","5","27","17","71","62","55","0","0","-"
"794","Adrian Kempe","L.A","L","25","270.05","2","1","0","1","3","60.00","28","7.14","1.93","54","38","24","12","2","3","6","3","3","0","0","5","9","4","22","13","6","59","74","44.36"
"529","Alan Quine","NYI","C","61","673.56666666667","3","12","6","6","15","45.45","75","4.00","5.66","115","90","66","36","5","5","8","4","4","0","0","4","18","15","76","43","27","242","257","48.50"
"276","Alec Martinez","L.A","D","82","1416.0833333333","6","17","6","11","23","41.07","102","5.88","5.23","233","155","79","17","3","21","22","11","11","0","0","5","46","4","120","137","125","0","0","-"
"731","Aleksander Barkov","FLA","C","61","927.95","18","20","16","4","38","74.51","104","17.31","8.83","165","135","101","48","5","15","8","4","4","0","0","16","21","41","32","80","26","374","440","45.95"
"44","Ales Hemsky","DAL","R","15","190.4","3","2","2","0","5","100.00","24","12.50","2.15","41","32","22","6","2","3","0","0","0","0","0","1","4","9","1","13","3","0","0","-"
"197","Alex Biega","VAN","D","36","443","0","3","1","2","3","25.00","37","0.00","1.29","77","57","14","2","1","1","18","9","9","0","0","2","7","5","94","61","23","0","0","-"
"349","Alex Chiasson","CGY","R","81","956.23333333333","11","10","5","5","21","65.63","95","11.58","7.66","150","117","83","46","9","6","34","14","12","2","0","5","19","29","71","89","17","7","22","24.14"
"606","Alex Galchenyuk","MTL","C","61","831.06666666667","11","18","12","6","29","69.05","82","13.41","7.79","158","116","90","41","6","13","18","8","8","0","0","6","29","16","36","76","32","231","318","42.08"
"134","Alex Goligoski","ARI","D","82","1529.3166666667","4","22","10","12","26","40.63","97","4.12","3.57","203","135","44","7","1","13","24","12","12","0","0","8","44","12","124","100","110","0","0","-"
"238","Alex Killorn","T.B","C, L","81","1146.9","14","10","8","2","24","58.54","140","10.00","12.26","242","200","131","56","10","13","54","24","22","2","0","21","35","21","94","105","21","2","8","20.00"
"120","Alex Ovechkin","WSH","L","82","1199.0833333333","16","27","15","12","43","68.25","214","7.48","16.17","413","305","190","73","23","27","44","22","22","0","0","19","38","25","209","69","27","0","1","0.00"
"437","Alex Petrovic","FLA","D","49","819.23333333333","1","13","5","8","14","42.42","53","1.89","2.42","108","81","21","1","4","5","59","20","17","1","2","12","22","15","105","70","51","0","0","-"
"288","Alex Pietrangelo","STL","D","80","1584.2","8","21","13","8","29","36.25","138","5.80","6.06","271","184","60","11","5","10","18","9","9","0","0","5","18","43","34","119","124","0","1","0.00"
"784","Alex Tuch","MIN","R","6","64.216666666667","0","0","0","0","0","0.00","8","0.00","0.83","15","10","10","5","0","1","0","0","0","0","0","0","0","2","5","8","7","0","0","-"
"454","Alexander Burmistrov","ARI, WPG","C","49","554.43333333333","1","9","6","3","10","66.67","32","3.13","2.71","71","50","32","11","1","2","10","5","5","0","0","6","13","11","58","35","16","167","225","42.60"
"138","Alexander Edler","VAN","D","68","1337.1333333333","4","13","5","8","17","35.42","111","3.60","3.59","236","152","57","9","4","10","34","17","17","0","0","8","32","10","95","132","100","2","1","66.67"
"878","Alexander Nylander","BUF","R","4","46.216666666667","0","1","1","0","1","100.00","4","0.00","0.14","8","5","4","0","0","0","0","0","0","0","0","0","3","3","1","1","2","0","1","0.00"
"125","Alexander Radulov","MTL","R","76","1173.05","12","26","18","8","38","64.41","130","9.23","14.22","253","189","155","83","6","19","54","25","25","0","0","19","49","40","69","145","40","5","6","45.45"
"73","Alexander Steen","STL","L","76","1104.3833333333","13","22","11","11","35","68.63","85","15.29","10.98","160","125","97","44","6","10","47","18","16","1","1","21","11","21","28","91","51","83","118","41.29"
"742","Alexander Wennberg","CBJ","C","80","1206.65","11","25","18","7","36","66.67","89","12.36","7.55","145","109","83","34","2","11","14","7","7","0","0","15","25","41","56","77","52","544","591","47.93"
"77","Alexandre Burrows","OTT, VAN","L","75","956.35","14","15","9","6","29","67.44","133","10.53","10.9","223","167","110","50","9","13","36","14","13","0","1","16","17","30","66","72","28","3","5","37.50"
"859","Alexandre Carrier","NSH","D","2","20.766666666667","0","0","0","0","0","0.00","1","0.00","0.01","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","-"
"531","Alexandre Grenier","VAN","R","3","19.45","0","0","0","0","0","-","1","0.00","0.02","4","2","1","0","0","0","0","0","0","0","0","0","0","0","3","1","0","2","0","100.00"
