"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"584","Jujhar Khaira","EDM","L","10","0.23333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"439","Julian Melchiori","WPG","D","18","14.283333333333","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","4","0","0","-"
"697","Julius Honka","DAL","D","16","0.85","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"54","Jussi Jokinen","FLA","L","69","92.9","1","0","0","0","1","100.00","5","20.00","0.54","9","6","4","2","1","1","13","5","4","1","0","5","1","7","0","0","6","7","3","70.00"
"166","Justin Abdelkader","DET","L","64","77.9","0","1","1","0","1","50.00","2","0.00","0.17","3","2","2","0","1","1","7","2","1","1","0","3","2","2","3","1","5","0","2","0.00"
"649","Justin Bailey","BUF","R","32","0.05","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-"
"234","Justin Braun","S.J","D","81","172.85","0","2","1","1","2","66.67","3","0.00","0.04","3","3","0","0","0","0","0","0","0","0","0","0","6","1","14","6","34","0","0","-"
"384","Justin Dowling","DAL","C","9","1.0166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"228","Justin Falk","BUF","D","52","38.95","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","11","0","0","-"
"408","Justin Faulk","CAR","D","75","54.633333333333","0","0","0","0","0","0.00","3","0.00","0.19","4","3","2","0","1","0","4","2","2","0","0","1","3","1","5","1","2","0","0","-"
"289","Justin Schultz","PIT","D","78","5.7833333333333","0","0","0","0","0","-","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","-"
