"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"826","A.J. Greer","COL","L","5","64.133333333333","61","56","52.14","48","37","56.47","34","31","52.31","1","3","25.00","3.08","1.53","66.84","28","14","66.67","14","4","77.78","1","0","100.00","14","10","58.33","0","2","0.00","28","30","48.28","0","1","0.00","2.94","90.32","0.933","11","23","12","51","47.83","28","30","27","50.91"
"770","Aaron Ekblad","FLA","D","68","1213.2333333333","1174","1079","52.11","891","857","50.97","652","629","50.90","34","55","38.20","43.54","49.29","46.90","478","502","48.78","170","218","43.81","18","31","36.73","308","284","52.03","10","9","52.63","601","493","54.94","6","14","30.00","5.21","91.26","0.965","171","189","97","860","63.81","469","355","317","59.67"
"306","Aaron Ness","WSH","D","2","25.666666666667","15","25","37.50","9","20","31.03","7","13","35.00","0","1","0.00","0.63","0.89","41.44","7","10","41.18","3","6","33.33","0","0","-","4","4","50.00","0","1","0.00","7","14","33.33","0","0","-","0.00","92.31","0.923","5","3","0","25","100.00","10","6","1","90.91"
"543","Adam Clendening","NYR","D","31","443.08333333333","452","343","56.86","325","257","55.84","217","179","54.80","20","16","55.56","17.52","13.72","56.08","200","145","57.97","88","65","57.52","9","7","56.25","112","80","58.33","5","5","50.00","204","170","54.55","6","4","60.00","9.22","91.06","1.003","115","86","34","307","77.18","194","138","91","68.07"
"148","Adam Cracknell","DAL","R","69","679.03333333333","680","647","51.24","497","454","52.26","339","312","52.07","27","20","57.45","25.35","24.17","51.18","303","287","51.36","124","107","53.68","23","11","67.65","179","180","49.86","4","5","44.44","319","291","52.30","0","4","0.00","7.96","93.59","1.016","114","162","75","634","60.32","180","223","182","49.72"
"712","Adam Erne","T.B","L","26","280.9","250","243","50.71","187","178","51.23","125","131","48.83","4","13","23.53","8.81","8.72","50.27","122","102","54.46","43","41","51.19","2","8","20.00","79","61","56.43","2","0","100.00","114","125","47.70","0","5","0.00","3.20","90.08","0.933","59","85","41","208","59.00","85","117","78","52.15"
"316","Adam Henrique","N.J","C","82","1103.4","937","1070","46.69","706","825","46.11","504","591","46.03","41","58","41.41","37.89","46.08","45.12","384","465","45.23","163","176","48.08","22","18","55.00","221","289","43.33","11","31","26.19","470","519","47.52","8","5","61.54","8.13","90.19","0.983","168","236","183","800","47.86","357","363","381","48.37"
"562","Adam Larsson","EDM","D","79","1451.5833333333","1362","1365","49.94","1039","995","51.08","752","712","51.37","76","56","57.58","63.46","55.14","53.51","663","643","50.77","293","282","50.96","42","36","53.85","370","361","50.62","22","15","59.46","609","606","50.12","10","4","71.43","10.11","92.13","1.022","164","317","225","1048","42.16","435","511","481","47.49"
"522","Adam Lowry","WPG","C, L","82","990.26666666667","842","910","48.06","636","680","48.33","464","502","48.03","35","38","47.95","36.6","36.55","50.04","407","382","51.58","173","155","52.74","17","20","45.95","234","227","50.76","9","10","47.37","378","434","46.55","9","7","56.25","7.54","92.43","1.000","140","279","205","820","40.58","244","369","374","39.48"
"172","Adam McQuaid","BOS","D","77","1218.4666666667","1225","1043","54.01","898","763","54.06","642","542","54.22","47","47","50.00","51.47","40.32","56.07","559","440","55.96","209","182","53.45","18","27","40.00","350","258","57.57","14","11","56.00","569","528","51.87","12","8","60.00","7.32","91.33","0.986","201","328","176","953","53.32","465","512","427","52.13"
"143","Adam Pardy","NSH","D","4","43.633333333333","40","47","45.98","31","36","46.27","25","25","50.00","1","2","33.33","1.51","1.82","45.41","16","20","44.44","4","9","30.77","0","1","0.00","12","11","52.17","0","0","-","18","21","46.15","1","1","50.00","4.00","92.00","0.960","5","7","4","46","55.56","13","7","11","54.17"
"642","Adam Pelech","NYI","D","44","695.41666666667","574","659","46.55","410","502","44.96","308","360","46.11","27","32","45.76","20.81","29.36","41.47","247","318","43.72","85","137","38.29","8","14","36.36","162","181","47.23","8","9","47.06","255","291","46.70","10","8","55.56","8.77","91.11","0.999","56","122","66","538","45.90","205","226","198","50.87"
"794","Adrian Kempe","L.A","L","25","270.05","268","201","57.14","191","151","55.85","132","102","56.41","5","9","35.71","9.92","9.98","49.85","109","88","55.33","49","34","59.04","3","2","60.00","60","54","52.63","2","3","40.00","137","96","58.80","0","2","0.00","3.79","91.18","0.950","58","48","39","215","59.79","98","66","80","55.06"
"529","Alan Quine","NYI","C","61","673.56666666667","629","755","45.45","470","552","45.99","352","401","46.75","33","33","50.00","23.47","30.09","43.81","264","372","41.51","112","141","44.27","20","20","50.00","152","231","39.69","6","6","50.00","285","317","47.34","7","6","53.85","9.38","91.77","1.011","100","163","86","559","53.76","181","241","200","47.51"
"276","Alec Martinez","L.A","D","82","1416.0833333333","1463","1229","54.35","1115","894","55.50","756","623","54.82","56","74","43.08","61.52","51.14","54.61","702","593","54.21","282","228","55.29","26","45","36.62","420","365","53.50","14","18","43.75","646","542","54.38","13","6","68.42","7.41","88.12","0.955","275","261","247","1134","52.68","524","415","431","54.87"
"731","Aleksander Barkov","FLA","C","61","927.95","910","727","55.59","703","593","54.24","533","444","54.55","51","36","58.62","37.9","35.18","51.86","426","338","55.76","154","149","50.83","24","19","55.81","272","189","59.00","21","11","65.63","434","331","56.73","6","5","54.55","9.57","91.89","1.015","179","240","128","558","58.31","340","327","254","57.24"
"44","Ales Hemsky","DAL","R","15","190.4","173","175","49.71","122","133","47.84","88","90","49.44","5","5","50.00","7.88","7","52.97","81","82","49.69","37","38","49.33","3","3","50.00","44","44","50.00","2","2","50.00","74","80","48.05","0","0","-","5.68","94.44","1.001","37","59","34","170","52.11","67","76","81","45.27"
"197","Alex Biega","VAN","D","36","443","385","409","48.49","278","319","46.57","202","240","45.70","12","16","42.86","13.82","17.89","43.60","167","199","45.63","59","75","44.03","7","8","46.67","108","124","46.55","3","3","50.00","185","183","50.27","2","4","33.33","5.94","93.33","0.993","57","85","49","387","53.77","127","133","115","52.48"
"349","Alex Chiasson","CGY","R","81","956.23333333333","850","786","51.96","627","579","51.99","444","401","52.54","32","39","45.07","32.9","30.27","52.08","358","363","49.65","146","129","53.09","17","19","47.22","212","234","47.53","10","11","47.62","415","364","53.27","5","8","38.46","7.21","90.27","0.975","203","186","111","740","64.65","338","311","253","57.19"
"606","Alex Galchenyuk","MTL","C","61","831.06666666667","838","827","50.33","612","624","49.51","446","477","48.32","42","44","48.84","35.14","39.95","46.80","366","407","47.35","177","183","49.17","23","23","50.00","189","224","45.76","11","14","44.00","390","365","51.66","7","6","53.85","9.42","90.78","1.002","219","165","57","656","79.35","345","245","160","68.32"
"134","Alex Goligoski","ARI","D","82","1529.3166666667","1363","1605","45.92","1020","1224","45.45","718","858","45.56","64","76","45.71","52.9","72.95","42.03","587","788","42.69","222","346","39.08","29","39","42.65","365","442","45.23","21","23","47.73","645","711","47.57","14","14","50.00","8.91","91.14","1.001","197","319","265","1049","42.64","449","486","558","44.59"
"238","Alex Killorn","T.B","C, L","81","1146.9","1067","1008","51.42","798","774","50.76","542","566","48.92","41","49","45.56","40.57","42.79","48.67","463","486","48.79","166","187","47.03","19","23","45.24","297","299","49.83","13","14","48.15","537","450","54.41","8","9","47.06","7.56","91.34","0.989","214","279","145","756","59.61","350","385","312","52.87"
"120","Alex Ovechkin","WSH","L","82","1199.0833333333","1244","1187","51.17","941","896","51.22","660","611","51.93","63","54","53.85","48.61","57.89","45.64","554","545","50.41","216","239","47.47","32","31","50.79","338","306","52.48","20","15","57.14","586","527","52.65","11","6","64.71","9.55","91.16","1.007","240","328","157","808","60.45","456","444","320","58.76"
"437","Alex Petrovic","FLA","D","49","819.23333333333","734","711","50.80","585","558","51.18","425","420","50.30","33","36","47.83","30.12","30.77","49.47","333","337","49.70","118","151","43.87","14","25","35.90","215","186","53.62","12","6","66.67","354","331","51.68","5","5","50.00","7.76","91.43","0.992","57","143","127","595","30.98","200","258","290","40.82"
"288","Alex Pietrangelo","STL","D","80","1584.2","1463","1453","50.17","1080","1054","50.61","788","783","50.16","80","78","50.63","64.24","63.28","50.37","683","689","49.78","264","254","50.97","36","38","48.65","419","435","49.06","25","21","54.35","667","628","51.51","19","14","57.58","10.15","90.04","1.002","180","351","242","1091","42.65","404","555","533","43.12"
"784","Alex Tuch","MIN","R","6","64.216666666667","66","64","50.77","49","45","52.13","35","36","49.30","1","4","20.00","2.84","2.3","55.22","34","24","58.62","13","11","54.17","1","3","25.00","21","13","61.76","0","1","0.00","27","32","45.76","0","0","-","2.86","88.89","0.917","9","21","10","46","47.37","19","26","16","54.29"
"454","Alexander Burmistrov","ARI, WPG","C","49","554.43333333333","420","555","43.08","293","423","40.92","206","300","40.71","15","23","39.47","14.46","25.84","35.88","171","268","38.95","57","118","32.57","7","10","41.18","114","150","43.18","5","11","31.25","208","241","46.33","3","2","60.00","7.28","92.33","0.996","75","117","64","394","53.96","128","175","162","44.14"
"138","Alexander Edler","VAN","D","68","1337.1333333333","1227","1265","49.24","905","994","47.66","668","735","47.61","48","67","41.74","47.2","64.23","42.36","586","670","46.66","238","258","47.98","34","42","44.74","348","412","45.79","8","13","38.10","511","508","50.15","5","8","38.46","7.19","90.88","0.981","152","267","201","922","43.06","450","446","450","50.00"
"878","Alexander Nylander","BUF","R","4","46.216666666667","47","47","50.00","34","43","44.16","24","35","40.68","1","2","33.33","0.73","1.48","33.01","9","14","39.13","2","5","28.57","0","1","0.00","7","9","43.75","0","0","-","31","31","50.00","1","1","50.00","4.17","94.29","0.985","10","5","8","35","55.56","22","6","17","56.41"
"125","Alexander Radulov","MTL","R","76","1173.05","1240","1052","54.10","886","776","53.31","637","580","52.34","59","45","56.73","51.19","45.58","52.90","558","484","53.55","265","204","56.50","30","23","56.60","293","280","51.13","20","12","62.50","546","481","53.16","8","9","47.06","9.26","92.24","1.015","274","297","98","820","73.66","443","400","266","62.48"
"73","Alexander Steen","STL","L","76","1104.3833333333","908","998","47.64","679","712","48.81","476","515","48.03","51","51","50.00","42.25","43.7","49.16","427","440","49.25","172","170","50.29","31","26","54.39","255","270","48.57","11","14","44.00","403","460","46.70","9","6","60.00","10.71","90.10","1.008","241","307","204","772","54.16","411","434","408","50.18"
"742","Alexander Wennberg","CBJ","C","80","1206.65","1136","1064","51.64","855","801","51.63","633","568","52.71","54","43","55.67","46.74","47.78","49.45","500","471","51.49","209","205","50.48","25","27","48.08","291","266","52.24","18","5","78.26","528","482","52.28","11","10","52.38","8.53","92.43","1.010","275","330","147","823","65.17","452","448","310","59.32"
