"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"575","Aaron Ekblad","FLA","D","82","138.8","207","43","82.80","171","37","82.21","131","31","80.86","17","4","80.95","14.71","2.96","83.27","102","19","84.30","38","11","77.55","5","2","71.43","64","8","88.89","6","2","75.00","98","10","90.74","6","0","100.00","12.98","87.10","1.001","46","26","7","111","86.79","88","44","9","90.72"
"371","Adam Clendening","CBJ","D","4","1.15","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","1","-","1","0","0","100.00"
"522","Adam Erne","T.B","L","65","32.383333333333","32","8","80.00","23","7","76.67","19","5","79.17","4","0","100.00","1.91","0.26","87.81","19","1","95.00","4","1","80.00","0","0","-","15","0","100.00","3","0","100.00","13","5","72.22","1","0","100.00","21.05","100.00","1.211","14","6","0","30","100.00","17","10","1","94.44"
"706","Adam Gaudette","VAN","C","56","76.633333333333","97","16","85.84","74","16","82.22","51","12","80.95","7","1","87.50","5.34","1.24","81.12","49","12","80.33","14","3","82.35","3","0","100.00","35","9","79.55","2","1","66.67","44","2","95.65","2","0","100.00","13.73","91.67","1.054","37","8","1","56","97.37","48","14","2","96.00"
"200","Adam Henrique","ANA","C","82","189.36666666667","306","50","85.96","233","43","84.42","165","33","83.33","23","3","88.46","20.7","2.86","87.87","162","21","88.52","68","12","85.00","12","0","100.00","94","9","91.26","7","2","77.78","138","11","92.62","4","0","100.00","13.94","90.91","1.048","103","22","4","37","96.26","175","39","11","94.09"
"388","Adam Larsson","EDM","D","82","6.3333333333333","12","1","92.31","9","1","90.00","9","1","90.00","1","0","100.00","1.11","0","99.86","5","0","100.00","2","0","100.00","0","0","-","3","0","100.00","0","0","-","5","0","100.00","1","0","100.00","11.11","100.00","1.111","8","2","0","18","100.00","8","2","1","88.89"
"360","Adam Lowry","WPG","C","78","8.3166666666667","4","3","57.14","2","3","40.00","1","2","33.33","0","1","0.00","0.15","0.54","22.11","2","1","66.67","0","1","0.00","0","1","0.00","2","0","100.00","0","0","-","2","1","66.67","0","0","-","0.00","50.00","0.500","10","5","0","12","100.00","11","6","1","91.67"
"86","Adam McQuaid","CBJ, NYR","D","50","0.56666666666667","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","1","0","4","-","0","1","0","-"
"454","Adam Pelech","NYI","D","78","11.233333333333","7","3","70.00","5","3","62.50","3","2","60.00","0","0","-","0.33","0.09","78.05","5","1","83.33","0","1","0.00","0","0","-","5","0","100.00","0","0","-","1","1","50.00","0","0","-","0.00","100.00","1.000","9","0","0","14","100.00","9","0","1","90.00"
"602","Adrian Kempe","L.A","C","81","109.73333333333","155","37","80.73","123","32","79.35","89","25","78.07","6","4","60.00","10.77","2.83","79.21","81","25","76.42","32","14","69.57","3","2","60.00","49","11","81.67","0","2","0.00","71","5","93.42","3","0","100.00","6.74","84.00","0.907","57","17","2","74","96.61","80","27","7","91.95"
"364","Alan Quine","CGY","C","13","2.9833333333333","4","1","80.00","3","1","75.00","3","1","75.00","1","0","100.00","0.52","0","99.88","2","0","100.00","2","0","100.00","0","0","-","0","0","-","0","0","-","2","0","100.00","1","0","100.00","33.33","100.00","1.333","1","0","0","5","100.00","1","0","0","100.00"
"167","Alec Martinez","L.A","D","60","73.116666666667","114","15","88.37","77","13","85.56","52","12","81.25","2","1","66.67","6.22","0.64","90.61","56","8","87.50","20","4","83.33","1","0","100.00","36","4","90.00","0","1","0.00","57","1","98.28","1","0","100.00","3.85","91.67","0.955","29","9","2","49","93.55","52","15","5","91.23"
"539","Aleksander Barkov","FLA","C","82","287.46666666667","527","85","86.11","403","74","84.49","282","58","82.94","55","10","84.62","35.49","6.05","85.44","256","47","84.49","99","25","79.84","24","8","75.00","157","22","87.71","10","1","90.91","244","21","92.08","21","1","95.45","19.50","82.76","1.023","153","32","4","27","97.45","287","53","9","96.96"
"102","Alex Biega","VAN","D","41","3.35","3","1","75.00","2","1","66.67","1","0","100.00","1","0","100.00","0.17","0.03","84.58","1","0","100.00","0","0","-","0","0","-","1","0","100.00","1","0","100.00","2","1","66.67","0","0","-","100.00","-","1.00","3","1","1","9","75.00","3","1","1","75.00"
"223","Alex Chiasson","EDM","R","73","191.26666666667","323","48","87.06","239","42","85.05","179","32","84.83","31","4","88.57","25.39","4.24","85.69","190","28","87.16","84","14","85.71","16","2","88.89","106","14","88.33","8","0","100.00","123","8","93.89","7","1","87.50","17.32","87.50","1.048","94","20","2","19","97.92","177","36","4","97.79"
"728","Alex DeBrincat","CHI","L, R","82","267.81666666667","449","57","88.74","328","53","86.09","240","45","84.21","38","7","84.44","29.41","4.61","86.44","243","27","90.00","75","14","84.27","16","5","76.19","168","13","92.82","16","0","100.00","192","10","95.05","6","1","85.71","15.83","84.44","1.003","139","20","3","36","97.89","239","37","15","94.09"
"786","Alex Formenton","OTT","L","9","0.88333333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","1","0","2","-","0","1","0","-"
"421","Alex Galchenyuk","ARI","C","72","229.66666666667","385","50","88.51","301","46","86.74","206","40","83.74","27","4","87.10","27.01","2.74","90.80","189","19","90.87","78","12","86.67","6","1","85.71","111","7","94.07","11","1","91.67","189","11","94.50","10","1","90.91","13.11","90.00","1.031","116","25","3","56","97.48","196","47","7","96.55"
"64","Alex Goligoski","ARI","D","76","142.25","198","49","80.16","151","44","77.44","102","38","72.86","14","5","73.68","12.47","2.78","81.79","87","20","81.31","32","8","80.00","6","2","75.00","55","12","82.09","3","2","60.00","102","11","90.27","5","0","100.00","13.73","86.84","1.006","46","18","3","112","93.88","85","33","9","90.43"
"795","Alex Iafallo","L.A","L","82","133.31666666667","206","36","85.12","157","30","83.96","112","24","82.35","9","6","60.00","13.16","2.18","85.76","105","18","85.37","40","7","85.11","3","1","75.00","65","11","85.53","3","3","50.00","96","6","94.12","3","0","100.00","8.04","75.00","0.830","63","16","4","70","94.03","110","28","8","93.22"
"131","Alex Killorn","T.B","L","82","111.75","157","33","82.63","122","29","80.79","88","24","78.57","13","2","86.67","10.74","2.07","83.86","92","19","82.88","33","6","84.62","6","1","85.71","59","13","81.94","6","1","85.71","62","9","87.32","1","0","100.00","14.77","91.67","1.064","56","10","3","80","94.92","75","19","7","91.46"
"53","Alex Ovechkin","WSH","L","81","358.76666666667","593","103","85.20","471","90","83.96","310","75","80.52","47","5","90.38","40.94","5.62","87.93","284","49","85.29","111","28","79.86","19","4","82.61","173","21","89.18","10","1","90.91","292","25","92.11","18","0","100.00","15.16","93.33","1.085","115","16","0","16","100.00","311","49","8","97.49"
"296","Alex Petrovic","EDM, FLA","D","35","3.7666666666667","3","1","75.00","2","1","66.67","2","1","66.67","0","0","-","0.09","0.04","67.62","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","1","66.67","0","0","-","0.00","100.00","1.000","3","1","0","6","100.00","3","2","1","75.00"
"179","Alex Pietrangelo","STL","D","71","195.88333333333","312","54","85.25","229","46","83.27","165","38","81.28","28","6","82.35","21.31","3.75","85.04","180","25","87.80","57","15","79.17","10","6","62.50","123","10","92.48","13","0","100.00","121","15","88.97","4","0","100.00","16.97","84.21","1.012","89","11","1","62","98.89","163","26","5","97.02"
"592","Alex Tuch","VGK","R","74","183.5","341","40","89.50","247","33","88.21","167","24","87.43","20","2","90.91","23.52","2.6","90.06","174","21","89.23","68","13","83.95","9","2","81.82","106","8","92.98","8","0","100.00","148","9","94.27","3","0","100.00","11.98","91.67","1.036","109","10","1","55","99.09","183","16","7","96.32"
"67","Alexander Edler","VAN","D","56","176.71666666667","291","43","87.13","226","36","86.26","160","29","84.66","24","2","92.31","17.98","3.49","83.76","158","21","88.27","50","14","78.13","7","0","100.00","108","7","93.91","10","2","83.33","129","10","92.81","7","0","100.00","15.00","93.10","1.081","73","20","0","26","100.00","158","27","1","99.37"
"481","Alexander Kerfoot","COL","C","78","161.98333333333","244","28","89.71","176","22","88.89","126","17","88.11","21","2","91.30","16.94","1","94.42","137","13","91.33","62","5","92.54","13","0","100.00","75","8","90.36","5","0","100.00","94","6","94.00","3","1","75.00","16.67","88.24","1.049","68","16","7","104","90.67","113","30","13","89.68"
"755","Alexander Nylander","BUF","R","12","11.75","18","3","85.71","15","3","83.33","13","2","86.67","2","0","100.00","1.24","0.2","85.98","12","2","85.71","4","1","80.00","0","0","-","8","1","88.89","2","0","100.00","6","0","100.00","0","0","-","15.38","100.00","1.154","5","0","0","6","100.00","7","0","1","87.50"
"58","Alexander Radulov","DAL","R","70","217.4","384","61","86.29","294","49","85.71","228","39","85.39","34","2","94.44","25.8","3.34","88.53","201","26","88.55","80","14","85.11","19","0","100.00","121","12","90.98","6","1","85.71","173","20","89.64","9","0","100.00","14.91","94.87","1.098","111","13","0","40","100.00","216","27","11","95.15"
